text,clean_text,sentiment,source
is cleaning the house for her family who is comming later today..,is cleaning the house for her family who is comming later today..,1,tsad
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,tsad
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,tsad
"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",2,tsad
  I`m sorry.,I`m sorry.,0,tsad
On the way to Malaysia...no internet access to Twit,On the way to Malaysia...no internet access to Twit,0,tsad
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,juss came backk from Berkeleyy ; omg its madd fun out there havent been out there in a minute . whassqoodd ?,2,tsad
Went to sleep and there is a power cut in Noida  Power back up not working too,Went to sleep and there is a power cut in Noida Power back up not working too,0,tsad
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,I`m going home now. Have you seen my new twitter design? Quite...heavenly isn`***?,2,tsad
i hope unni will make the audition . fighting dahye unni !,i hope unni will make the audition . fighting dahye unni !,2,tsad
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,If it is any consolation I got my BMI tested hahaha it says I am obesed well so much for being unhappy for about 10 minutes.,0,tsad
 That`s very funny.  Cute kids.,That`s very funny. Cute kids.,2,tsad
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope we play Army.",1,tsad
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4","Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero",1,tsad
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,Born and raised in NYC and living in Texas for the past 10 years! I still miss NY,0,tsad
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,tsad
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,i`m sooo sleeepy!!! the last day o` school was today...sniffle...,0,tsad
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day","A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",2,tsad
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",1,tsad
im an avid fan of **** magazine and i love your magazines,im an avid fan of *** magazine and i love your magazines,2,tsad
MAYDAY?!,MAYDAY?!,1,tsad
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE! LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1,tsad
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.Ã¯Â¿Â½,I love to! But I`m only available from 5pm. and where dear? Would love to help convert her vids.Ã¯Â¿Â½,2,tsad
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1,tsad
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,egh blah and booo i dunno wanna go to work HANGOVERS SUCKKK Im a drunk mess!,0,tsad
:visiting my friendster and facebook,:visiting my friendster and facebook,1,tsad
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more","i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0,tsad
 which case? I got a new one last week and I`m not thrilled at all with mine.,which case? I got a new one last week and I`m not thrilled at all with mine.,0,tsad
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,Then you should check out and connect with other tweeple who hate twitter,1,tsad
" also bored at school, its my third freelesson( freistunde )","also bored at school, its my third freelesson( freistunde )",1,tsad
 hm... Both of us I guess...,hm... Both of us I guess...,1,tsad
 it is ****...u have dissappointed me that past few days,it is ***...u have dissappointed me that past few days,0,tsad
 romance zero is funny,romance zero is funny,2,tsad
 I`d rather do the early run..but I am a morning runner,I`d rather do the early run..but I am a morning runner,1,tsad
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,Bah a coworker ran into work late and her bag smacked into my knee it really hurts now,0,tsad
will be back later.  http://plurk.com/p/rp3k7,will be back later.,1,tsad
Aw. Torn ace of hearts  #Hunchback,Aw. Torn ace of hearts #Hunchback,0,tsad
 what fun are you speaking of?,what fun are you speaking of?,1,tsad
"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..i wanna go home",0,tsad
 haha yes,haha yes,1,tsad
I give in to easily,I give in to easily,0,tsad
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,2,tsad
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,mannn... _ got an iphone!!! im jealous...,0,tsad
Is at a photoshoot.,Is at a photoshoot.,1,tsad
  He`s awesome... Have you worked with him before? He`s a good friend.,He`s awesome... Have you worked with him before? He`s a good friend.,2,tsad
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,1,tsad
Chilliin,Chilliin,2,tsad
" If you know such agent, do let me know","If you know such agent, do let me know",1,tsad
I still smell of smoke  #kitchenfire,I still smell of smoke #kitchenfire,1,tsad
 a celtics-lakers rematch sounds better don`t you think? lol,a celtics-lakers rematch sounds better don`t you think? lol,2,tsad
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc","Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",1,tsad
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?","'you can ride one, you can catch one, but its not summer til you pop open one' ?",1,tsad
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1,tsad
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,1,tsad
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.","WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",0,tsad
 My sources say no,My sources say no,1,tsad
I am sooo tired,I am sooo tired,0,tsad
" Hey, you change your twitter account, and you didn`t even tell me...","Hey, you change your twitter account, and you didn`t even tell me...",1,tsad
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,THANK YYYOOOUUU!,2,tsad
 lucky kid...i so wanna see loserville  pity im in oz....,lucky kid...i so wanna see loserville pity im in oz...,2,tsad
fell asleep waiting for my ride!,fell asleep waiting for my ride!,1,tsad
Sick. With a flu like thing.,Sick. With a flu like thing.,0,tsad
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys","Still no reply from about my SimFinger problem So no iRape parody video until I get a response, sorry guys",0,tsad
Happy Star Wars day everyone! and Enjoy the holiday (UK),Happy Star Wars day everyone! and Enjoy the holiday (UK),2,tsad
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,Miles from you I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,1,tsad
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left I love him.",1,tsad
i miss you bby      wish you were going tomorrow to make me do good.,i miss you bby wish you were going tomorrow to make me do good.,0,tsad
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,2,tsad
 SWEEEEET - San Fran is awesome!!!!  Love it there,SWEEET - San Fran is awesome!!! Love it there,2,tsad
_Mounce yes and it lasts way past my bedtime!,_Mounce yes and it lasts way past my bedtime!,1,tsad
 Hi  how are you doing ???  *just joined twitter...*,Hi how are you doing ??? *just joined twitter...*,1,tsad
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,0,tsad
eating ice cream and then getting ready for graduation.,eating ice cream and then getting ready for graduation.,1,tsad
Happy Mothers day to all you Mums out there,Happy Mothers day to all you Mums out there,2,tsad
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?","CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",0,tsad
 hemp cloth is marvelous but unfortunately no,hemp cloth is marvelous but unfortunately no,0,tsad
Gonna read a story bout adam lambert online then bed. Nighty night,Gonna read a story bout adam lambert online then bed. Nighty night,1,tsad
 We saw that in none 3D - the baddie`s the best,We saw that in none 3D - the baddie`s the best,2,tsad
4am. And Im on the beach. Pretty,4am. And Im on the beach. Pretty,2,tsad
" Certainly not Cheers than, huh?","Certainly not Cheers than, huh?",1,tsad
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",0,tsad
i realy wanted to go out cause its so nice but everybodys busy,i realy wanted to go out cause its so nice but everybodys busy,0,tsad
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,Awesome. I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,2,tsad
at least I get to watch over time  Let`s go Pens!!,at least I get to watch over time Let`s go Pens!!,1,tsad
 cool i wear black most of the time when i go out,cool i wear black most of the time when i go out,1,tsad
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,haha I do not know how to work blip apart from the obvious! thanks for reblipping my song have a nice day ***,2,tsad
 have a safe trip joshy poo.......you`ll knock them dead at your speech,have a safe trip joshy poo...you`ll knock them dead at your speech,2,tsad
" woof, I wish I was allowed to go","woof, I wish I was allowed to go",2,tsad
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,if u have a friendster add me!!! my email adress add me loco_crime_1st.com add me leave some comment,1,tsad
  has tickets.......?,has tickets...?,1,tsad
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!","Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",2,tsad
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,ACSM. it`s unfathomable. i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,1,tsad
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us","Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",2,tsad
So many tests todayyy  I don`t feel confident about anyy.,So many tests todayyy I don`t feel confident about anyy.,0,tsad
graduation is done  im a little sad.. anyone want to hang out???,graduation is done im a little sad.. anyone want to hang out???,0,tsad
 hahaa your awesomee !,hahaa your awesomee !,2,tsad
holy smokes! star trek was freaking awesomeeeee,holy smokes! star trek was freaking awesomeee,2,tsad
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.","I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food don`t worry I`ll get through it.",1,tsad
" I had it! On my itunes, but then I lost all my songs.","I had it! On my itunes, but then I lost all my songs.",1,tsad
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,What`s with the gloomy weather? The sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha,1,tsad
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours","Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",0,tsad
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!","Poor you Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",0,tsad
not well,not well,0,tsad
 Not a prob hun,Not a prob hun,2,tsad
"at dads, watching some mtv and am going on sims2 in a minutee","at dads, watching some mtv and am going on sims2 in a minutee",1,tsad
 Absolutely,Absolutely,1,tsad
 what`s the matter chickadee?,what`s the matter chickadee?,1,tsad
 hey mia!  totally adore your music.  when will your cd be out?,hey mia! totally adore your music. when will your cd be out?,2,tsad
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless","Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",2,tsad
 =O you need to ask him something? Lmao I love him too,=O you need to ask him something? Lmao I love him too,2,tsad
 those splinters look very painful...but you were being very heroic saving mr. Pickle,those splinters look very painful...but you were being very heroic saving mr. Pickle,0,tsad
 why are you sad?,why are you sad?,0,tsad
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,Nice to see you tweeting! It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,2,tsad
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots. Age of the instant gratification...,2,tsad
 Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word... should i ? ...naaah !,1,tsad
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.","Congrats! I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",1,tsad
Humous and Dorito`s.... Oh yes,Humous and Dorito`s... Oh yes,1,tsad
"missed all the awesome weather, because she was in a movie!","missed all the awesome weather, because she was in a movie!",0,tsad
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,1,tsad
"These kids are terrible! If I was in Good Evans, I`d call Childline","These kids are terrible! If I was in Good Evans, I`d call Childline",0,tsad
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!","Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",0,tsad
" What`s sad is that I actually had to google that term. That sucks, tho.","What`s sad is that I actually had to google that term. That sucks, tho.",0,tsad
Hate fighting,Hate fighting,0,tsad
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol","I watched that too!!! I didnt want her to win, but she put up a good fight..lol",1,tsad
Car-warmed Sprite tastes like sore throat,Car-warmed Sprite tastes like sore throat,0,tsad
Just came 11th in cross country and beat dumbo,Just came 11th in cross country and beat dumbo,1,tsad
Candle wax is very enjoyable.,Candle wax is very enjoyable.,2,tsad
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her","She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",2,tsad
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late got my cousins babtizm or whatever you spell it,1,tsad
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,goooddd morning tweets!! week three OF my workout. did i mention i got my new glasses yesterday?!?,2,tsad
 me too. I hate my computer so much..,me too. I hate my computer so much..,0,tsad
 fine! Going to do my big walk today 20 or so miles,fine! Going to do my big walk today 20 or so miles,2,tsad
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,I WANT RED CRUISERS!! i don`t like the other ones. LMFAO!,0,tsad
Mmmmmmmm... ? it in the morning,Mmmm... ? it in the morning,1,tsad
 me neither,me neither,1,tsad
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah","Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",1,tsad
Bugger. forgot I still have washing in my machine,Bugger. forgot I still have washing in my machine,0,tsad
"_Laurie sending love, blessings & healing thoughts to you & family  peace","_Laurie sending love, blessings & healing thoughts to you & family peace",2,tsad
My back hurts...really bad,My back hurts...really bad,0,tsad
" ah yes, I know that feeling","ah yes, I know that feeling",1,tsad
Night of the cookers with my dad,Night of the cookers with my dad,1,tsad
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,0,tsad
 Nope I am in Coquitlam,Nope I am in Coquitlam,1,tsad
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,Had parent teacher thing yesterday!! So boring going to skl on saturday!! lol,0,tsad
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,#lichfield #tweetup sounds like fun Hope to see you and everyone else there!,2,tsad
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,Big booming thunder storm almost here. Maybe we can all go home early??? Ah... probably not.,1,tsad
Few Bevvies 2day in twn..great on a day off!!,Few Bevvies 2day in twn..great on a day off!!,2,tsad
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,first night in myers. just not the same w/out lydia! but i`m actually excited about this summer!,2,tsad
 good morning,good morning,2,tsad
 its the best show EVER!,its the best show EVER!,2,tsad
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,URL in previous post (to timer job) should be I`d removed space which messed up URL. ^ES,0,tsad
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,i think iv hurt my tooth and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,1,tsad
 I want to know when the auditions are Mander! Text or...reply please!,I want to know when the auditions are Mander! Text or...reply please!,1,tsad
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,or even NOOO NOT THE SECRET NAMEREBECCA PLEASE,0,tsad
 I miss my neice  can`t wait to see her bad n grown ****! Lol,I miss my neice can`t wait to see her bad n grown ***! Lol,0,tsad
i need to get my computer fixed,i need to get my computer fixed,1,tsad
really hopes her car`s illness is not terminal...,really hopes her car`s illness is not terminal...,0,tsad
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.","All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",1,tsad
 no sir...i woulda put honey...but i don`t have any,no sir...i woulda put honey...but i don`t have any,1,tsad
who watched X-men origins: wolverine? i totally loved it! haha,who watched X-men origins: wolverine? i totally loved it! haha,2,tsad
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,I VOTED!!! do u have a personal myspace? i keep talking to fakes i <3 you. u helped me thru the hrdest time of my life! (: x,2,tsad
 I`m sad that I missed you guys last night!,I`m sad that I missed you guys last night!,0,tsad
Finally got a call for marriage counseling 3 days late....,Finally got a call for marriage counseling 3 days late...,1,tsad
 ok then,ok then,1,tsad
_420 why baby?,_420 why baby?,1,tsad
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,0,tsad
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,1,tsad
lost my tooth 2day whilst i was eating gum...oww,lost my tooth 2day whilst i was eating gum...oww,0,tsad
happy 1 year! <3,happy 1 year! <3,2,tsad
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol","Oh, I HELLA forgot to say my official good morning Like to hear it? Here it go! Goood Morrrning Twitterville! Lol",2,tsad
 *phew*  Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½,*phew* Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½,1,tsad
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,WHAT ABOUT ME ?? I VOTE EVERY DAY FOR YOU !!!,0,tsad
I`m starving!! This diet is killing me but I can`t eat after 8pm,I`m starving!! This diet is killing me but I can`t eat after 8pm,0,tsad
 i talk to you,i talk to you,1,tsad
im soo bored...im deffo missing my music channels,im soo bored...im deffo missing my music channels,0,tsad
 nite nite bday girl  have fun at concert,nite nite bday girl have fun at concert,2,tsad
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now","Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",1,tsad
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,_Sanderson What`s with Twatter lately? Either I can`t get on or the replies don`t turn up!,1,tsad
should be sleeping.  lost my voice a couple day ago.,should be sleeping. lost my voice a couple day ago.,0,tsad
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,- hate when my PARKED car gets hit,0,tsad
 I`ve heard this fall. I`m waiting too!,I`ve heard this fall. I`m waiting too!,1,tsad
 more nightmares?  *huggles*,more nightmares? *huggles*,1,tsad
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,I AM SUCH A CREEPER I feel disappointed because of it. *** my cyberstalking skills the internet = no more privacy.,0,tsad
going to bed its late and I have headache,going to bed its late and I have headache,0,tsad
happy mother`s day to all moms out there...,happy mother`s day to all moms out there...,2,tsad
Grabbing coffee from  then making mom breakfast,Grabbing coffee from then making mom breakfast,1,tsad
im thinking that im going to have fun tonight....and maybe some changes are coming,im thinking that im going to have fun tonight...and maybe some changes are coming,2,tsad
 thanks. before the major chop.,thanks. before the major chop.,1,tsad
" Haha I know, I cant handle the fame!  and thank you!","Haha I know, I cant handle the fame! and thank you!",2,tsad
just got up and updated my ipod,just got up and updated my ipod,1,tsad
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowww plan plan before you go to US!,2,tsad
 We never miss ICarly - my son has a huge crush on Miranda,We never miss ICarly - my son has a huge crush on Miranda,2,tsad
Saw James carville in the store today. His head is really that bald,Saw James carville in the store today. His head is really that bald,1,tsad
yellow for   ? http://blip.fm/~5z05g,yellow for ?,1,tsad
 which means you`re just going to have to come back to vancouver and have it our way! hahah,which means you`re just going to have to come back to vancouver and have it our way! hahah,1,tsad
Feeling smooth like chrome,Feeling smooth like chrome,2,tsad
Ew traffic,Ew traffic,0,tsad
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol","downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",1,tsad
@_Ra_Ra_ your not alone...i need coffee too.,your not alone...i need coffee too.,1,tsad
 Sounds like me,Sounds like me,1,tsad
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,Bad day The day you realize what mess you`ve put me through will be one of the happiest days of my life...,1,tsad
Walking to class. I hate not having a bike....especially mine.,Walking to class. I hate not having a bike...especially mine.,0,tsad
_nesmith,_nesmith,1,tsad
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.","failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",0,tsad
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,","JONAS BROTHERS - Live to party. It`s rocking so hard I love the song,",2,tsad
happy mother`s day to all the mothers in the world.,happy mother`s day to all the mothers in the world.,2,tsad
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc","35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.",2,tsad
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,Sleepy Tabz is heading to bed. Fun night! Listened through the next episode of Joss`d!,2,tsad
The exception for a short dude: Larenz fineass Tate yum,The exception for a short dude: Larenz fineass Tate yum,1,tsad
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.","Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",2,tsad
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.","If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. Hopefully we will be free soon.",2,tsad
 Yes i work 6 to 3...,Yes i work 6 to 3...,1,tsad
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is","Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",1,tsad
Done at the spa   now meeting vic for some late lunch!,Done at the spa now meeting vic for some late lunch!,1,tsad
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,Happy monday up and about going to tavares today. Hope everyone has a blessed day!,2,tsad
 Always have wanted to go to Oz,Always have wanted to go to Oz,1,tsad
 Thx,Thx,1,tsad
 http://twitpic.com/4jaz5 - Cool... luv it,- Cool... luv it,2,tsad
  that`s why I need to be there...To represent the Blackberries,that`s why I need to be there...To represent the Blackberries,2,tsad
