id,url,fullText,clean_txt,label,bilstm_pred,weighted-naive-bayes-lr_pred,bilstm_pred_label,weighted-naive-bayes-lr_pred_label
1.01e+18,https://x.com/elonmusk/status/1008124944289370113,"@michaelshermer Direct democracy by the people. Laws must be short, as there is trickery in length. Automatic expiration of rules to prevent death by bureaucracy. Any rule can be removed by 40% of people to overcome inertia. Freedom.","Direct democracy by the people. Laws must be short, as there is trickery in length. Automatic expiration of rules to prevent death by bureaucracy. Any rule can be removed by 40% of people to overcome inertia. Freedom.",1,0,1,negative,neutral
1.88e+18,https://x.com/elonmusk/status/1878550409851093287,We are going to position Cybertrucks with Starlinks and free WiFi in a grid pattern in the areas that most need it in the greater LA/Malibu area,We are going to position Cybertrucks with Starlinks and free WiFi in a grid pattern in the areas that most need it in the greater LA/Malibu area,2,1,2,neutral,positive
1.9e+18,https://x.com/elonmusk/status/1900858831237767246,"SpaceX will launch over 90% of all of Earth’s payload mass to orbit this year. 

China will be ~5% and rest of world, including rest of America, around 5%.

When Starship is launching at high rate, SpaceX will probably carry &gt;99% of Earth’s payload mass to orbit. This is","SpaceX will launch over 90% of all of Earth's payload mass to orbit this year. China will be ~5% and rest of world, including rest of America, around 5%. When Starship is launching at high rate, SpaceX will probably carry >99% of Earth's payload mass to orbit. This is",2,0,2,negative,positive
1.7e+18,https://x.com/elonmusk/status/1703327746955551060,@BillMelugin_ @firehawkphoto The Joker is winning in real life in our cities in America,The Joker is winning in real life in our cities in America,0,2,1,positive,neutral
1.68e+18,https://x.com/elonmusk/status/1682594510545584128,@DirtyTesLa Reduces unnecessary slowdowns,Reduces unnecessary slowdowns,2,0,1,negative,neutral
1.84e+18,https://x.com/elonmusk/status/1841191704516243640,@TheRabbitHole84 Republicans used to be the “mean &amp; judgy” party and now it is the Democrats,"Republicans used to be the ""mean & judgy"" party and now it is the Democrats",0,1,0,neutral,negative
1.86e+18,https://x.com/elonmusk/status/1861797386693353706,"This is undemocratic. The EU parliament should vote directly on matters, not give up authority to the EU commission.","This is undemocratic. The EU parliament should vote directly on matters, not give up authority to the EU commission.",0,0,1,negative,neutral
1.87e+18,https://x.com/elonmusk/status/1865880047912985087,@MikeBenzCyber The sheer magnitude and breadth of the scams in government are mind-blowing,The sheer magnitude and breadth of the scams in government are mind-blowing,0,0,1,negative,neutral
1.76e+18,https://x.com/elonmusk/status/1755264018145804689,"If I had a dollar for every time the media reported that one of my companies was going to die, I would never need to raise money!","If I had a dollar for every time the media reported that one of my companies was going to die, I would never need to raise money!",0,1,0,neutral,negative
1.89e+18,https://x.com/elonmusk/status/1892615780119748881,@AdamLowisz @DefiyantlyFree There must be some solution that is not constant daily death of Ukrainian men in trenches,There must be some solution that is not constant daily death of Ukrainian men in trenches,0,0,1,negative,neutral
1.8e+18,https://x.com/elonmusk/status/1798703949714985032,We do actually have acquisition signal. 11 internal cameras are transmitting. Figuring out why external cameras aren’t.,We do actually have acquisition signal. 11 internal cameras are transmitting. Figuring out why external cameras aren't.,1,0,1,negative,neutral
1.88e+18,https://x.com/elonmusk/status/1877220454349382140,@DefiyantlyFree She must be a genius,She must be a genius,2,2,1,positive,neutral
3.21e+17,https://x.com/elonmusk/status/321409229565075456,@ryanjoyce88 We went through literally hundreds of variants of red trying to find something original that didn't suck.,We went through literally hundreds of variants of red trying to find something original that didn't suck.,1,1,0,neutral,negative
1.64e+18,https://x.com/elonmusk/status/1641712856897839110,@nichegamer Really that good?,Really that good?,1,1,2,neutral,positive
1.84e+18,https://x.com/elonmusk/status/1844435192884416611,Google is controlled by far left activists,Google is controlled by far left activists,0,0,1,negative,neutral
9.99e+17,https://x.com/elonmusk/status/999465692859527168,"Maybe the media credibility rating site should be called “You’re Right!”  I do actually own https://t.co/1JqqCF9inA, but for the moment I just have it automatically forward to Facebook News.","Maybe the media credibility rating site should be called ""You're Right!"" I do actually own but for the moment I just have it automatically forward to Facebook News.",1,1,2,neutral,positive
1.83e+18,https://x.com/elonmusk/status/1833345969074933963,@pmarca Removing the immense number of pointless regulations and shifting investment to the private sector is the key,Removing the immense number of pointless regulations and shifting investment to the private sector is the key,2,0,1,negative,neutral
1.81e+18,https://x.com/elonmusk/status/1809377894571077842,"When is there not one – just one – even *attempted* prosecution of that Epstein (Bill Gates &amp; Reid Hoffman come to mind)
client list. 

Either FBI does their duty or the case for an entire departmental reset or abolishment is strong.",When is there not one – just one – even *attempted* prosecution of that Epstein (Bill Gates & Reid Hoffman come to mind) client list. Either FBI does their duty or the case for an entire departmental reset or abolishment is strong.,0,0,1,negative,neutral
1.65e+18,https://x.com/elonmusk/status/1653567634657656832,@Damadeferroofic These guys? https://t.co/qLxjXDObGH,These guys?,1,1,2,neutral,positive
1.4e+18,https://x.com/elonmusk/status/1395072357765627904,@SenBillNelson I would like to second that congratulations. Outstanding accomplishment by China!,I would like to second that congratulations. Outstanding accomplishment by China!,2,1,2,neutral,positive
1.57e+18,https://x.com/elonmusk/status/1571154307759603718,to help mend the fault in our stars,to help mend the fault in our stars,1,0,1,negative,neutral
1.38e+18,https://x.com/elonmusk/status/1375909123246686212,"@summerlinARK It’s not really possible to match the human brain in 2021 for any amount of money imo, but it will be possible probably in a few years","It's not really possible to match the human brain in 2021 for any amount of money imo, but it will be possible probably in a few years",1,0,1,negative,neutral
1.12e+18,https://x.com/elonmusk/status/1117563769159286784,Winter is coming,Winter is coming,1,1,2,neutral,positive
1.65e+18,https://x.com/elonmusk/status/1645589870100840449,@amuse @96hoya Downtown SF looks like a zombie apocalypse. People who’ve not been there have no idea.,Downtown SF looks like a zombie apocalypse. People who've not been there have no idea.,0,0,1,negative,neutral
1.25e+18,https://x.com/elonmusk/status/1247049621374930951,@archillect Like tears in rain,Like tears in rain,1,0,1,negative,neutral
1.13e+18,https://x.com/elonmusk/status/1131676702491283456,"@EcoHeliGuy @Erdayastronaut @JaneidyEve @13ericralph31 @SPEXcast @bluemoondance74 @Orion_Sword @Some1gee @SpaceX Yes, will be used for rear cargo storage. Also helps manage center of mass for heavy payloads when forward cargo is full.","Yes, will be used for rear cargo storage. Also helps manage center of mass for heavy payloads when forward cargo is full.",1,2,1,positive,neutral
1.87e+18,https://x.com/elonmusk/status/1873971592096866511,@techiedani The brutal reality of the situation will hit like a tsunami towards the end of next year,The brutal reality of the situation will hit like a tsunami towards the end of next year,0,0,1,negative,neutral
1.46e+18,https://x.com/elonmusk/status/1457083243933601802,@Rainmaker1973 Tesla Autopilot spends a lot of effort on minimizing jerk,Tesla Autopilot spends a lot of effort on minimizing jerk,1,1,0,neutral,negative
1.7e+18,https://x.com/elonmusk/status/1702119552316813427,@billmaher Maybe worth posting some material on this platform. The reach is enormous.,Maybe worth posting some material on this platform. The reach is enormous.,2,1,2,neutral,positive
1.1e+18,https://x.com/elonmusk/status/1095945664876462080,"@TslaTimeCapsule @BMWi @Audi @Cadillac @WSJ @28delayslater Wow, 2013","Wow, 2013",2,1,2,neutral,positive
1.33e+18,https://x.com/elonmusk/status/1330204058817351684,@NASASpaceflight Largest cast titanium part in the world. No heat shielding needed.,Largest cast titanium part in the world. No heat shielding needed.,2,0,1,negative,neutral
1.33e+18,https://x.com/elonmusk/status/1329448467161370638,@Suvitruf @archillect Haha sexy cropping champion of all time,Haha sexy cropping champion of all time,2,2,1,positive,neutral
1.7e+18,https://x.com/elonmusk/status/1704448737639018822,@stclairashley This would be next-level absurd. I’m not building a house of any kind anywhere.,This would be next-level absurd. I'm not building a house of any kind anywhere.,0,0,1,negative,neutral
8.15e+17,https://x.com/elonmusk/status/815023208235560961,"Resolving an Autopilot HW2 bug that shows up when booting from a subzero cold-soak. If that fix works, software will start uploading tmrw.","Resolving an Autopilot HW2 bug that shows up when booting from a subzero cold-soak. If that fix works, software will start uploading tmrw.",2,0,1,negative,neutral
1.53e+18,https://x.com/elonmusk/status/1531696049064116225,@PinballReed @crikey_news @ummjackson @cameronwilson And Palmer always forgets to mention that he never wrote a single line of Dogecoin code …,And Palmer always forgets to mention that he never wrote a single line of Dogecoin code …,0,0,1,negative,neutral
1.63e+18,https://x.com/elonmusk/status/1632186257659838467,@pmarca People who throw the disinformation word around constantly are almost certainly guilty of engaging in it,People who throw the disinformation word around constantly are almost certainly guilty of engaging in it,0,0,1,negative,neutral
1.42e+18,https://x.com/elonmusk/status/1415346183707545605,"@preachy_spice It was Richard’s rental house, which overall is great, but I agree regarding the cabinets haha. This was 3am, day of flight. Wasn’t expecting this brutal pic of me to be posted, but oh well.","It was Richard's rental house, which overall is great, but I agree regarding the cabinets haha. This was 3am, day of flight. Wasn't expecting this brutal pic of me to be posted, but oh well.",1,0,2,negative,positive
1.11e+18,https://x.com/elonmusk/status/1109901209446416385,"@andrewmackenzie Every car company is constantly changing prices, but nobody cares","Every car company is constantly changing prices, but nobody cares",1,0,1,negative,neutral
1.6e+18,https://x.com/elonmusk/status/1595551706749624321,"@semaforben All public holders of Twitter were allowed to roll their stock into Twitter as a private company, but he did not do so. Your reporting made it falsely sound like he did, when in fact he owns 0%. 

For the last time, how much of you does SBF own? Stop dodging the question.","All public holders of Twitter were allowed to roll their stock into Twitter as a private company, but he did not do so. Your reporting made it falsely sound like he did, when in fact he owns 0%. For the last time, how much of you does SBF own? Stop dodging the question.",0,0,1,negative,neutral
1.85e+18,https://x.com/elonmusk/status/1851971319111262506,Let us know if you’ve been illegally fired for expressing your political views,Let us know if you've been illegally fired for expressing your political views,0,1,0,neutral,negative
1.32e+18,https://x.com/elonmusk/status/1319059307804045316,"@WholeMarsBlog Not intentional! We just wanted to show that you could theoretically convert the entire US vehicle fleet to electric using only the lithium in Nevada, a single state. Tesla will do lithium mining only as needed. We also found a way to extract lithium using NaCl (table salt).","Not intentional! We just wanted to show that you could theoretically convert the entire US vehicle fleet to electric using only the lithium in Nevada, a single state. Tesla will do lithium mining only as needed. We also found a way to extract lithium using NaCl (table salt).",2,1,0,neutral,negative
1.1e+18,https://x.com/elonmusk/status/1095929103062974464,"@thehumanwire @InsideEVs @28delayslater Probably a month or two. Sentry mode became top priority, so pushed that out a bit.","Probably a month or two. Sentry mode became top priority, so pushed that out a bit.",1,0,1,negative,neutral
1.47e+18,https://x.com/elonmusk/status/1465761470147346435,"@GerberKawasaki We had to shift some Starlink satellite orbits to reduce probability of collision. Not great, but not terrible either.

Station &amp; Dragon have micrometeorite shields (ultra high velocity impact absorption), but EVA suits do not, hence higher risk for spacewalk.","We had to shift some Starlink satellite orbits to reduce probability of collision. Not great, but not terrible either. Station & Dragon have micrometeorite shields (ultra high velocity impact absorption), but EVA suits do not, hence higher risk for spacewalk.",1,0,1,negative,neutral
1.66e+18,https://x.com/elonmusk/status/1662764138043518977,@zerohedge For obvious &amp; sensible reasons,For obvious & sensible reasons,1,0,1,negative,neutral
8.73e+17,https://x.com/elonmusk/status/873306583983247360,"@RITSPEX @ID_AA_Carmack @mmeijeri Slow at first, then very fast. Def not hover.","Slow at first, then very fast. Def not hover.",1,1,0,neutral,negative
1.9e+18,https://x.com/elonmusk/status/1896625472957796612,Imagine if that were to happen … oh it already has,Imagine if that were to happen … oh it already has,0,0,1,negative,neutral
