id,url,fullText,clean_txt,label,naive_bayes_pred,weighted-naive-bayes-lr_pred,naive_bayes_pred_label,weighted-naive-bayes-lr_pred_label
1.76e+18,https://x.com/elonmusk/status/1764891422556123525,"@Mihonarium Maybe we are just a CSV file on an alien computer. 

What the odds that this reality is base CSV?",Maybe we are just a CSV file on an alien computer. What the odds that this reality is base CSV?,1,0,1,negative,neutral
1.87e+18,https://x.com/elonmusk/status/1870201697601011922,"Obviously NOT “far-right”!

Just common sense policies.","Obviously NOT ""far-right""! Just common sense policies.",0,0,1,negative,neutral
1.25e+18,https://x.com/elonmusk/status/1253834922969763842,Mythic Quest is 🤣🤣 MTTD,Mythic Quest is MTTD,1,2,1,positive,neutral
1.88e+18,https://x.com/elonmusk/status/1884312495097323743,"Live broadcast from The @WhiteHouse. 

You can now rewind live broadcasts to catch up. 

 https://t.co/YwZYM5DqOm",Live broadcast from The . You can now rewind live broadcasts to catch up.,1,0,1,negative,neutral
1.84e+18,https://x.com/elonmusk/status/1842039975107285500,@pmarca @robkhenderson That cycle has happened so many times,That cycle has happened so many times,1,0,1,negative,neutral
1.82e+18,https://x.com/elonmusk/status/1823743685093208169,@TrungTPhan BIG CANDY,BIG CANDY,2,2,1,positive,neutral
1.05e+18,https://x.com/elonmusk/status/1050792830732394496,Visual approximation https://t.co/sMn3Pv476Y,Visual approximation,1,2,1,positive,neutral
1.68e+18,https://x.com/elonmusk/status/1679675138235830272,@JuwonTheTechie @Twitter I gave my share to the creator payout pool,I gave my share to the creator payout pool,1,2,1,positive,neutral
6.57e+17,https://x.com/elonmusk/status/656971573337944065,"@ryybuzz we won't be, but yes","we won't be, but yes",1,0,1,negative,neutral
1.58e+18,https://x.com/elonmusk/status/1580600379074523136,"@leehumerian Starlink requires nothing except ~50 Watt power source. With a small solar system plus battery or a generator, you will have connectivity anywhere.","Starlink requires nothing except ~50 Watt power source. With a small solar system plus battery or a generator, you will have connectivity anywhere.",2,0,1,negative,neutral
1.75e+18,https://x.com/elonmusk/status/1753558150983082216,@PlanetOfMemes The contempt he showed for America is galling,The contempt he showed for America is galling,0,2,1,positive,neutral
1.85e+18,https://x.com/elonmusk/status/1849714158113259968,"@elon_docs Some of the war records of my grandfather (Walter Henry James Musk) can be found on the Internet these days.

He met my English grandmother (Cora Amelia Robinson) when he was transferred to British Intelligence towards the end of the war. https://t.co/cMYiICyWa6",Some of the war records of my grandfather (Walter Henry James Musk) can be found on the Internet these days. He met my English grandmother (Cora Amelia Robinson) when he was transferred to British Intelligence towards the end of the war.,1,0,1,negative,neutral
1.89e+18,https://x.com/elonmusk/status/1890526446583419357,@WesleyHuntTX They call everyone they don’t like a Nazi,They call everyone they don't like a Nazi,0,1,0,neutral,negative
1.84e+18,https://x.com/elonmusk/status/1835914640351793229,@MattWalshBlog Because they’re racists?  🤷‍♂️,Because they're racists? ‍♂️,0,0,1,negative,neutral
1.25e+18,https://x.com/elonmusk/status/1253373112202211329,"@teslaownersSV @TOGregTO Side camera view looks a little weird, as meant for self-driving, but will review with team. Image will need a little post-processing.","Side camera view looks a little weird, as meant for self-driving, but will review with team. Image will need a little post-processing.",1,1,0,neutral,negative
1.85e+18,https://x.com/elonmusk/status/1851161873816903728,@amuse AOC was like murdered like 17 times at least,AOC was like murdered like 17 times at least,0,0,1,negative,neutral
1.78e+18,https://x.com/elonmusk/status/1780370067987009711,"Legacy media simply can’t compete with hundreds of millions of humans providing real-time, AI-assisted, interactive information","Legacy media simply can't compete with hundreds of millions of humans providing real-time, AI-assisted, interactive information",0,2,1,positive,neutral
1.45e+18,https://x.com/elonmusk/status/1446402077014515718,Sorry if we’ve been too dumb to respond to you. Please cite evidence of exceptional ability in a few bullet points. Nothing else matters.,Sorry if we've been too dumb to respond to you. Please cite evidence of exceptional ability in a few bullet points. Nothing else matters.,0,1,0,neutral,negative
1.69e+18,https://x.com/elonmusk/status/1694112544342913533,@PrinceVogel He is now in logo heaven,He is now in logo heaven,1,2,1,positive,neutral
1.66e+18,https://x.com/elonmusk/status/1657204060334989312,"@zerohedge So you’re saying there’s a chance we make it? Yesss 💪!!
https://t.co/9aMviVhLMD",So you're saying there's a chance we make it? Yesss !!,2,0,1,negative,neutral
1.88e+18,https://x.com/elonmusk/status/1876891493014569426,"@JustinTrudeau Girl, you’re not the governor of Canada anymore, so doesn’t matter what you say","Girl, you're not the governor of Canada anymore, so doesn't matter what you say",0,0,1,negative,neutral
9.7e+17,https://x.com/elonmusk/status/970088614183845888,@ToddBourne @Tesla Almost done,Almost done,1,2,1,positive,neutral
1.63e+18,https://x.com/elonmusk/status/1625580694494928897,"@WallStreetSilv Low birth rates lead to ghost cities and, eventually, ghost civilizations","Low birth rates lead to ghost cities and, eventually, ghost civilizations",0,2,1,positive,neutral
1.05e+18,https://x.com/elonmusk/status/1045828553751711746,That was intense,That was intense,1,0,1,negative,neutral
1.53e+18,https://x.com/elonmusk/status/1529631588417421312,"@teslaownersSV @RyanGirdusky @GoodPoliticGuy If birth rates remain unchanged, South Korea will be ~6% of its current population in three generations, with a majority of people over age 60","If birth rates remain unchanged, South Korea will be ~6% of its current population in three generations, with a majority of people over age 60",0,2,1,positive,neutral
1.91e+18,https://x.com/elonmusk/status/1905292428010979412,She should be fired immediately,She should be fired immediately,0,1,0,neutral,negative
1.47e+18,https://x.com/elonmusk/status/1469006861588434959,@_rykllan @SpaceX @FelixSchlang @MarcusHouse @Erdayastronaut @bluemoondance74 @NextHorizonsSF Rocket fleets grows,Rocket fleets grows,2,2,1,positive,neutral
1.84e+18,https://x.com/elonmusk/status/1841345939061215430,"Also, common sense. 

People need to live somewhere, so unless they move to a town with a lot of extra houses (true in some places, but not all places in America), there will be upward pressure on house prices proportionate to the influx of people.","Also, common sense. People need to live somewhere, so unless they move to a town with a lot of extra houses (true in some places, but not all places in America), there will be upward pressure on house prices proportionate to the influx of people.",1,0,1,negative,neutral
1.89e+18,https://x.com/elonmusk/status/1887710700912472443,"Anyone want to create a hard-hitting show on 𝕏 called 69 Minutes?

I will actually fund it!",Anyone want to create a hard-hitting show on 𝕏 called 69 Minutes? I will actually fund it!,2,1,0,neutral,negative
9.99e+17,https://x.com/elonmusk/status/999361510915768320,@jaspar Oh hey another sanctimonious media person who thinks he’s above criticism. Try being truthful &amp; the public will believe you again.,Oh hey another sanctimonious media person who thinks he's above criticism. Try being truthful & the public will believe you again.,0,0,1,negative,neutral
1.63e+18,https://x.com/elonmusk/status/1630654820565614593,"@Erdayastronaut Raptor start is now reliable on the test stand under most conditions. 

Now we’re working on dynamically adapting the start sequence based on increasingly difficult propellant inlet pressures &amp; temps. 

Operating with low pressure, “warm” liquid oxygen is particularly important.","Raptor start is now reliable on the test stand under most conditions. Now we're working on dynamically adapting the start sequence based on increasingly difficult propellant inlet pressures & temps. Operating with low pressure, ""warm"" liquid oxygen is particularly important.",2,0,1,negative,neutral
1.73e+18,https://x.com/elonmusk/status/1732294278448132424,"@EndWokeness There is only so much hotel space, then what?","There is only so much hotel space, then what?",0,0,1,negative,neutral
1.74e+18,https://x.com/elonmusk/status/1736303967213068562,Create a Community on 𝕏!,Create a Community on 𝕏!,2,0,1,negative,neutral
1.86e+18,https://x.com/elonmusk/status/1859769034147024994,"@ByronYork 💯

Biden said he would open the border before he became President and then he did what he said he would do!",Biden said he would open the border before he became President and then he did what he said he would do!,1,2,1,positive,neutral
1.87e+18,https://x.com/elonmusk/status/1867748874003120293,100th rocket landing this year,100th rocket landing this year,2,2,1,positive,neutral
1.08e+18,https://x.com/elonmusk/status/1081576707365064704,"Starship test vehicle under assembly will look similar to this illustration when finished. Operational Starships would obv have windows, etc. https://t.co/D8AJ01mjyR","Starship test vehicle under assembly will look similar to this illustration when finished. Operational Starships would obv have windows, etc.",1,0,1,negative,neutral
1.75e+18,https://x.com/elonmusk/status/1750368096945070474,And he did https://t.co/AZVkmSFiqj,And he did,1,0,1,negative,neutral
1.88e+18,https://x.com/elonmusk/status/1877569861758390382,Competence saves lives,Competence saves lives,2,2,1,positive,neutral
1.33e+18,https://x.com/elonmusk/status/1331391132367015937,@flcnhvy @thesheetztweetz Major upgrades are slated for SN15,Major upgrades are slated for SN15,2,0,1,negative,neutral
1.68e+18,https://x.com/elonmusk/status/1682962207405948929,"@waxingarcane There are limits, but yes","There are limits, but yes",1,0,1,negative,neutral
1.78e+18,https://x.com/elonmusk/status/1776737723770105983,@WallStreetSilv The AP is responsible for more false information than all “anonymous” accounts combined. It’s not even close.,"The AP is responsible for more false information than all ""anonymous"" accounts combined. It's not even close.",0,0,1,negative,neutral
1.77e+18,https://x.com/elonmusk/status/1772339467002482904,@libsoftiktok When will this madness stop!?,When will this madness stop!?,0,1,0,neutral,negative
1.45e+18,https://x.com/elonmusk/status/1446535128545693699,@LifeofMikej @TeslaOwnersBC @DriveTeslaca @Tesla @Teslarati There are many small joys as you explore the car &amp; more to come via software updates,There are many small joys as you explore the car & more to come via software updates,2,0,1,negative,neutral
1.01e+18,https://x.com/elonmusk/status/1012604447552204805,"@JaneidyEve Everything is sentient, especially sentience","Everything is sentient, especially sentience",1,2,1,positive,neutral
1.39e+18,https://x.com/elonmusk/status/1385106006141587459,"@ValaAfshar Very important. Most people don’t know this. Wind is also super cheap, especially when paired with batteries.","Very important. Most people don't know this. Wind is also super cheap, especially when paired with batteries.",2,1,0,neutral,negative
7.51e+17,https://x.com/elonmusk/status/750835746613915648,"@jacobrossi All publicly known Tesla product developments are called out, incl vehicles and batteries. Would be odd *not* to include.","All publicly known Tesla product developments are called out, incl vehicles and batteries. Would be odd *not* to include.",1,0,1,negative,neutral
1.75e+18,https://x.com/elonmusk/status/1753193317687308342,This could have been your family. It was someone’s family.,This could have been your family. It was someone's family.,0,2,1,positive,neutral
1.64e+18,https://x.com/elonmusk/status/1640503312146464768,@GAINNowAmerica Not having a massive short position against Tesla would be a step in the right direction!,Not having a massive short position against Tesla would be a step in the right direction!,2,0,1,negative,neutral
2.3e+17,https://x.com/elonmusk/status/230490756966662144,"@dansitu Don't know about ""dark manipulators"", but Adbusters played a major role in creating Occupy http://t.co/fZ38XMeH","Don't know about ""dark manipulators"", but Adbusters played a major role in creating Occupy",1,0,1,negative,neutral
1.87e+18,https://x.com/elonmusk/status/1868964350305960426,She should sing her verdicts,She should sing her verdicts,1,2,1,positive,neutral
1.13e+18,https://x.com/elonmusk/status/1129940276745609219,Also porting Unreal Engine,Also porting Unreal Engine,1,0,1,negative,neutral
1.76e+18,https://x.com/elonmusk/status/1762146007385805300,"@zerohedge My guess is zero people get fired and they just fix the obvious stuff, while leaving the overall manipulation in place","My guess is zero people get fired and they just fix the obvious stuff, while leaving the overall manipulation in place",0,1,0,neutral,negative
1.34e+18,https://x.com/elonmusk/status/1337559580801425409,"@ErcXspace @SpaceX Ship leeward side will be bare metal, windward will have black, hexagonal heat shield tiles","Ship leeward side will be bare metal, windward will have black, hexagonal heat shield tiles",1,0,1,negative,neutral
1.69e+18,https://x.com/elonmusk/status/1685129287194558464,@alx _____ is a hell of a drug,___ is a hell of a drug,1,0,1,negative,neutral
1.18e+18,https://x.com/elonmusk/status/1176588054670323713,@HarryStoltz1 @justpaulinelol @Teslarati Turbo Pascal,Turbo Pascal,1,0,1,negative,neutral
1.77e+18,https://x.com/elonmusk/status/1773856964746805687,"@KettlebellDan People trash me all day. It’s fine. 

Mark Cuban is a 😢 baby.",People trash me all day. It's fine. Mark Cuban is a baby.,0,2,1,positive,neutral
1.91e+18,https://x.com/elonmusk/status/1910710839096545304,They just want to cheat,They just want to cheat,0,0,1,negative,neutral
9e+17,https://x.com/elonmusk/status/900376843210981376,"@KonstDubbed Yeah. It's kinda disgusting, but my boys and I love it :)","Yeah. It's kinda disgusting, but my boys and I love it :)",2,0,2,negative,positive
1.88e+18,https://x.com/elonmusk/status/1875576632326681099,"Legacy media dies a little more with each of their lies that is exposed. 

You are the media now.",Legacy media dies a little more with each of their lies that is exposed. You are the media now.,0,0,1,negative,neutral
1.67e+18,https://x.com/elonmusk/status/1670147972368330753,@ZubyMusic Ad-free version if you subscribe to Zuby!,Ad-free version if you subscribe to Zuby!,2,2,1,positive,neutral
1.76e+18,https://x.com/elonmusk/status/1761176276621254807,"Meta Staff Found Instagram Tool Enabled Child Exploitation. The Company Pressed Ahead Anyway.

And yet @Disney spends billions on advertising with Meta … https://t.co/a8TDWMnYNH",Meta Staff Found Instagram Tool Enabled Child Exploitation. The Company Pressed Ahead Anyway. And yet spends billions on advertising with Meta …,0,2,1,positive,neutral
1.11e+18,https://x.com/elonmusk/status/1109895691587862528,"To be precise, midnight on April 1, so effective April 2","To be precise, midnight on April 1, so effective April 2",1,1,2,neutral,positive
9.59e+17,https://x.com/elonmusk/status/959482581451329536,"@TheTeslaShow Early access build and especially Dev build are feature-rich, but the features aren’t reliable enough yet","Early access build and especially Dev build are feature-rich, but the features aren't reliable enough yet",1,0,1,negative,neutral
1.87e+18,https://x.com/elonmusk/status/1870910663700390365,"I’d like to propose that Congress pass a “Save the Bureaucracy” bill, based on the premise that any given bill will do the opposite of its name 🤣🤣","I'd like to propose that Congress pass a ""Save the Bureaucracy"" bill, based on the premise that any given bill will do the opposite of its name",0,1,2,neutral,positive
1.28e+18,https://x.com/elonmusk/status/1282492573383184386,@MightyTesla @SamTalksTesla @ElonsWorld @Nikola_Truth @WholeMarsBlog @RenataKonkoly @stevenmarkryan @vincent13031925 @HyperChangeTV @TeslaPodcast Hell of a ride!,Hell of a ride!,2,2,1,positive,neutral
1.49e+18,https://x.com/elonmusk/status/1488889793048195082,@MinimalDuck @Tesla @Gfilche @WholeMarsBlog Tunnels …,Tunnels …,1,0,1,negative,neutral
1.76e+18,https://x.com/elonmusk/status/1760323775768453481,"@RichardHanania Yeah, the legacy media is obsessed","Yeah, the legacy media is obsessed",0,2,1,positive,neutral
1.86e+18,https://x.com/elonmusk/status/1862337000411447422,"@pcgamer Who owns you?

PC Gamer used to be great, but turned into unreadable crap for several years.","Who owns you? PC Gamer used to be great, but turned into unreadable crap for several years.",0,0,1,negative,neutral
1.28e+18,https://x.com/elonmusk/status/1276957305842528256,@BLKMDL3 Major Supercharger increases are underway for the greater LA area,Major Supercharger increases are underway for the greater LA area,2,2,1,positive,neutral
1.72e+18,https://x.com/elonmusk/status/1717989656485105994,Maybe time’s just a construct of human perception. An illusion created by … https://t.co/iiDxRoPJwv,Maybe time's just a construct of human perception. An illusion created by …,1,2,1,positive,neutral
1.29e+18,https://x.com/elonmusk/status/1285830270709403648,"You don’t have a soul, you are a soul","You don't have a soul, you are a soul",1,2,1,positive,neutral
1.7e+18,https://x.com/elonmusk/status/1703327746955551060,@BillMelugin_ @firehawkphoto The Joker is winning in real life in our cities in America,The Joker is winning in real life in our cities in America,0,2,1,positive,neutral
1.68e+18,https://x.com/elonmusk/status/1682594510545584128,@DirtyTesLa Reduces unnecessary slowdowns,Reduces unnecessary slowdowns,2,2,1,positive,neutral
1.73e+18,https://x.com/elonmusk/status/1733237507431526635,@alifarhat79 I am told that there is no evidence that he ever visited the island,I am told that there is no evidence that he ever visited the island,1,0,1,negative,neutral
1.9e+18,https://x.com/elonmusk/status/1904370059532980540,@moment_mirthful @DOGE @SocialSecurity I’d like to meet them!,I'd like to meet them!,2,2,1,positive,neutral
1.86e+18,https://x.com/elonmusk/status/1861797386693353706,"This is undemocratic. The EU parliament should vote directly on matters, not give up authority to the EU commission.","This is undemocratic. The EU parliament should vote directly on matters, not give up authority to the EU commission.",0,0,1,negative,neutral
1.84e+18,https://x.com/elonmusk/status/1839931278340010214,From many countries,From many countries,1,0,1,negative,neutral
1.23e+18,https://x.com/elonmusk/status/1226920273753997316,@G_d_Photographr Sounds like we should open a Tesla Center there!,Sounds like we should open a Tesla Center there!,2,2,1,positive,neutral
1.89e+18,https://x.com/elonmusk/status/1892615780119748881,@AdamLowisz @DefiyantlyFree There must be some solution that is not constant daily death of Ukrainian men in trenches,There must be some solution that is not constant daily death of Ukrainian men in trenches,0,2,1,positive,neutral
1.57e+18,https://x.com/elonmusk/status/1567192288442388481,@garyblack00 Read the actual ruling. We had zero to do with David Sack’s response. Zero.,Read the actual ruling. We had zero to do with David Sack's response. Zero.,1,2,1,positive,neutral
1.41e+18,https://x.com/elonmusk/status/1413739988399833091,@edisoneom @richardbranson @StephenAtHome @thegreatkhalid @Cmdr_Hadfield @kelliegerardi @virgingalactic Only ever have,Only ever have,1,2,1,positive,neutral
1.89e+18,https://x.com/elonmusk/status/1889262650502123630,@stillgray But really how did she?,But really how did she?,1,0,1,negative,neutral
1.88e+18,https://x.com/elonmusk/status/1877220454349382140,@DefiyantlyFree She must be a genius,She must be a genius,2,2,1,positive,neutral
1.85e+18,https://x.com/elonmusk/status/1852362688325656884,Women are exceeding men in academia,Women are exceeding men in academia,2,2,1,positive,neutral
1.66e+18,https://x.com/elonmusk/status/1655130145445879808,"@marenkahnert I’d just to see a picture of this mine. Like, where is it exactly!?","I'd just to see a picture of this mine. Like, where is it exactly!?",1,2,1,positive,neutral
1.73e+18,https://x.com/elonmusk/status/1728213431201792492,@DanielleFong Context switching is the mindkiller,Context switching is the mindkiller,0,0,1,negative,neutral
1.82e+18,https://x.com/elonmusk/status/1819548856910012724,@hoovlet Detailed explanation,Detailed explanation,1,2,1,positive,neutral
1.89e+18,https://x.com/elonmusk/status/1894417769707573618,"I will do whatever I can.

There are limitations place upon me.",I will do whatever I can. There are limitations place upon me.,1,2,1,positive,neutral
1.62e+18,https://x.com/elonmusk/status/1618306035340709888,"@BretWeinstein Several aspects of For You recommendations were fixed last night. Team and were in the office past midnight.

You should see improvements, but we are continuing to monitor.","Several aspects of For You recommendations were fixed last night. Team and were in the office past midnight. You should see improvements, but we are continuing to monitor.",2,0,1,negative,neutral
1.83e+18,https://x.com/elonmusk/status/1833326667072475252,Paging @PETA … 👋,Paging …,1,0,1,negative,neutral
9.99e+17,https://x.com/elonmusk/status/999465692859527168,"Maybe the media credibility rating site should be called “You’re Right!”  I do actually own https://t.co/1JqqCF9inA, but for the moment I just have it automatically forward to Facebook News.","Maybe the media credibility rating site should be called ""You're Right!"" I do actually own but for the moment I just have it automatically forward to Facebook News.",1,0,2,negative,positive
1.4e+18,https://x.com/elonmusk/status/1404330986951766021,@DELTA_V @spacex360 So much more is needed for life to become multiplanetary,So much more is needed for life to become multiplanetary,1,2,0,positive,negative
1.65e+18,https://x.com/elonmusk/status/1645116142791393283,Tesla opening Megapack factory in Shanghai to supplement output of Megapack factory in California,Tesla opening Megapack factory in Shanghai to supplement output of Megapack factory in California,2,2,1,positive,neutral
1.52e+18,https://x.com/elonmusk/status/1516946581030903809,@garyblack00 @MartinViecha $1T valuation with $0 advertising spend,$1T valuation with $0 advertising spend,2,2,1,positive,neutral
1.81e+18,https://x.com/elonmusk/status/1809377894571077842,"When is there not one – just one – even *attempted* prosecution of that Epstein (Bill Gates &amp; Reid Hoffman come to mind)
client list. 

Either FBI does their duty or the case for an entire departmental reset or abolishment is strong.",When is there not one – just one – even *attempted* prosecution of that Epstein (Bill Gates & Reid Hoffman come to mind) client list. Either FBI does their duty or the case for an entire departmental reset or abolishment is strong.,0,0,1,negative,neutral
1.87e+18,https://x.com/elonmusk/status/1873188759526887447,"SpaceX launch underway 
 https://t.co/8JxXqiJho2",SpaceX launch underway,1,2,1,positive,neutral
1.57e+18,https://x.com/elonmusk/status/1571154307759603718,to help mend the fault in our stars,to help mend the fault in our stars,1,0,1,negative,neutral
1.61e+18,https://x.com/elonmusk/status/1606290057890889729,@shethssahil1 @TheSonOfWalkley @Twitter Spaces should automatically ask the host if they’d like to save it,Spaces should automatically ask the host if they'd like to save it,1,0,1,negative,neutral
1.61e+18,https://x.com/elonmusk/status/1614119750627459074,"The higher the rates, the harder the fall","The higher the rates, the harder the fall",0,2,0,positive,negative
1.38e+18,https://x.com/elonmusk/status/1375909123246686212,"@summerlinARK It’s not really possible to match the human brain in 2021 for any amount of money imo, but it will be possible probably in a few years","It's not really possible to match the human brain in 2021 for any amount of money imo, but it will be possible probably in a few years",1,0,1,negative,neutral
1.5e+18,https://x.com/elonmusk/status/1503831484523819011,"Thank you for the offer, but such excellent training would give me too much of an advantage. 

If he is afraid to fight, I will agree to use only my left hand and I am not even left-handed.

Elona","Thank you for the offer, but such excellent training would give me too much of an advantage. If he is afraid to fight, I will agree to use only my left hand and I am not even left-handed. Elona",2,0,2,negative,positive
1.21e+18,https://x.com/elonmusk/status/1205676667705757696,@bluemoondance74 @ThugsAndMiracle @tfspeakcies @DearHistorians @DeepintoHistory @HellenisticPod @TrueConsPod @IWBpodcast @Coffincast @CacheHistory @AgeofVictoria @ForYourRefPod @WWIIPodcast @namelessdeadpod @ZombieFishbowl @AgeofNapoleon Raptor is making great progress! Just finished an engineering review with SpaceX Propulsion. Engine SN 17 is about to ship to McGregor with some holiday style 🎄😀 https://t.co/3JNIyxY9H0,Raptor is making great progress! Just finished an engineering review with SpaceX Propulsion. Engine SN 17 is about to ship to McGregor with some holiday style,2,1,2,neutral,positive
1.14e+18,https://x.com/elonmusk/status/1141198742919344130,"@cleantechnica @Tesla Sole meunière
https://t.co/EYi4gHmJ5X",Sole meunière,1,0,1,negative,neutral
1.53e+18,https://x.com/elonmusk/status/1529100718065569792,"Contrary to what many think, the richer someone is, the fewer kids they have.

I am a rare exception. Most people I know have zero or one kid.","Contrary to what many think, the richer someone is, the fewer kids they have. I am a rare exception. Most people I know have zero or one kid.",1,2,1,positive,neutral
1.12e+18,https://x.com/elonmusk/status/1117563769159286784,Winter is coming,Winter is coming,1,1,2,neutral,positive
1.74e+18,https://x.com/elonmusk/status/1744414136086200632,@teslaownersSV That was wild,That was wild,2,2,1,positive,neutral
1.65e+18,https://x.com/elonmusk/status/1645589870100840449,@amuse @96hoya Downtown SF looks like a zombie apocalypse. People who’ve not been there have no idea.,Downtown SF looks like a zombie apocalypse. People who've not been there have no idea.,0,0,1,negative,neutral
1.25e+18,https://x.com/elonmusk/status/1247049621374930951,@archillect Like tears in rain,Like tears in rain,1,0,1,negative,neutral
1.22e+18,https://x.com/elonmusk/status/1217995711196778497,@jameslin123321 @Erdayastronaut Helping to pay for this is why I’m accumulating assets on Earth.,Helping to pay for this is why I'm accumulating assets on Earth.,1,2,0,positive,negative
1.87e+18,https://x.com/elonmusk/status/1873971592096866511,@techiedani The brutal reality of the situation will hit like a tsunami towards the end of next year,The brutal reality of the situation will hit like a tsunami towards the end of next year,0,0,1,negative,neutral
1.66e+18,https://x.com/elonmusk/status/1658564606984441859,Tesla shareholder meeting underway,Tesla shareholder meeting underway,1,2,1,positive,neutral
1.77e+18,https://x.com/elonmusk/status/1773934659287605651,@pmarca Expansion of consciousness in all its forms,Expansion of consciousness in all its forms,2,0,1,negative,neutral
1.69e+18,https://x.com/elonmusk/status/1689188669251338240,@RichardDawkins Many parallels,Many parallels,1,2,1,positive,neutral
1.89e+18,https://x.com/elonmusk/status/1892842450370142405,Restoring solvency to America is essential to protect Social Security &amp; medical care,Restoring solvency to America is essential to protect Social Security & medical care,1,2,1,positive,neutral
1.91e+18,https://x.com/elonmusk/status/1910092373981630862,SuperGrok is free for students,SuperGrok is free for students,2,2,1,positive,neutral
