id,url,fullText,clean_txt,label,bilstm-attention_pred,cardiff_roberta_pred,bilstm-attention_pred_label,cardiff_roberta_pred_label
1.81e+18,https://x.com/elonmusk/status/1811783320839008381,"The European Commission offered 𝕏 an illegal secret deal: if we quietly censored speech without telling anyone, they would not fine us. 

The other platforms accepted that deal. 

𝕏 did not.","The European Commission offered 𝕏 an illegal secret deal: if we quietly censored speech without telling anyone, they would not fine us. The other platforms accepted that deal. 𝕏 did not.",0,0,1,negative,neutral
9.7e+17,https://x.com/elonmusk/status/970088614183845888,@ToddBourne @Tesla Almost done,Almost done,1,1,2,neutral,positive
1.75e+18,https://x.com/elonmusk/status/1752922071229722990,"The public vote is unequivocally in favor of Texas!

Tesla will move immediately to hold a shareholder vote to transfer state of incorporation to Texas.",The public vote is unequivocally in favor of Texas! Tesla will move immediately to hold a shareholder vote to transfer state of incorporation to Texas.,2,1,2,neutral,positive
1.63e+18,https://x.com/elonmusk/status/1625580694494928897,"@WallStreetSilv Low birth rates lead to ghost cities and, eventually, ghost civilizations","Low birth rates lead to ghost cities and, eventually, ghost civilizations",0,1,0,neutral,negative
1.53e+18,https://x.com/elonmusk/status/1529631588417421312,"@teslaownersSV @RyanGirdusky @GoodPoliticGuy If birth rates remain unchanged, South Korea will be ~6% of its current population in three generations, with a majority of people over age 60","If birth rates remain unchanged, South Korea will be ~6% of its current population in three generations, with a majority of people over age 60",0,0,1,negative,neutral
1.91e+18,https://x.com/elonmusk/status/1905292428010979412,She should be fired immediately,She should be fired immediately,0,1,0,neutral,negative
1.84e+18,https://x.com/elonmusk/status/1841345939061215430,"Also, common sense. 

People need to live somewhere, so unless they move to a town with a lot of extra houses (true in some places, but not all places in America), there will be upward pressure on house prices proportionate to the influx of people.","Also, common sense. People need to live somewhere, so unless they move to a town with a lot of extra houses (true in some places, but not all places in America), there will be upward pressure on house prices proportionate to the influx of people.",1,0,1,negative,neutral
8.76e+17,https://x.com/elonmusk/status/875509067011153924,"$300M cost diff between SpaceX and Boeing/Lockheed exceeds avg value of satellite, so flying with SpaceX means satellite is basically free https://t.co/CaOulCf7ot","$300M cost diff between SpaceX and Boeing/Lockheed exceeds avg value of satellite, so flying with SpaceX means satellite is basically free",2,0,1,negative,neutral
1.89e+18,https://x.com/elonmusk/status/1887710700912472443,"Anyone want to create a hard-hitting show on 𝕏 called 69 Minutes?

I will actually fund it!",Anyone want to create a hard-hitting show on 𝕏 called 69 Minutes? I will actually fund it!,2,0,2,negative,positive
9.99e+17,https://x.com/elonmusk/status/999361510915768320,@jaspar Oh hey another sanctimonious media person who thinks he’s above criticism. Try being truthful &amp; the public will believe you again.,Oh hey another sanctimonious media person who thinks he's above criticism. Try being truthful & the public will believe you again.,0,1,0,neutral,negative
1.63e+18,https://x.com/elonmusk/status/1630654820565614593,"@Erdayastronaut Raptor start is now reliable on the test stand under most conditions. 

Now we’re working on dynamically adapting the start sequence based on increasingly difficult propellant inlet pressures &amp; temps. 

Operating with low pressure, “warm” liquid oxygen is particularly important.","Raptor start is now reliable on the test stand under most conditions. Now we're working on dynamically adapting the start sequence based on increasingly difficult propellant inlet pressures & temps. Operating with low pressure, ""warm"" liquid oxygen is particularly important.",2,0,2,negative,positive
1.73e+18,https://x.com/elonmusk/status/1731991224825819616,"Posts on 𝕏 go viral proportionate to how much time users spend looking at them. 

People obviously spend way more time watching videos on 𝕏 than if they go elsewhere to watch them, so it is best to post things natively here.","Posts on 𝕏 go viral proportionate to how much time users spend looking at them. People obviously spend way more time watching videos on 𝕏 than if they go elsewhere to watch them, so it is best to post things natively here.",2,2,1,positive,neutral
1.87e+18,https://x.com/elonmusk/status/1865595693005406598,@visegrad24 Someone should tell her that there is a cure now for toxoplasmosis,Someone should tell her that there is a cure now for toxoplasmosis,0,0,1,negative,neutral
1.86e+18,https://x.com/elonmusk/status/1859769034147024994,"@ByronYork 💯

Biden said he would open the border before he became President and then he did what he said he would do!",Biden said he would open the border before he became President and then he did what he said he would do!,1,0,1,negative,neutral
1.08e+18,https://x.com/elonmusk/status/1081576707365064704,"Starship test vehicle under assembly will look similar to this illustration when finished. Operational Starships would obv have windows, etc. https://t.co/D8AJ01mjyR","Starship test vehicle under assembly will look similar to this illustration when finished. Operational Starships would obv have windows, etc.",1,0,1,negative,neutral
1.69e+18,https://x.com/elonmusk/status/1685343230475325440,I knew birds weren’t real,I knew birds weren't real,1,1,0,neutral,negative
1.6e+18,https://x.com/elonmusk/status/1598631136980131843,"@shortword @M3Marcel @WholeMarsBlog Current efficiency is 1.7kWh/mile, but there is a clear path to 1.6, possibly 1.5","Current efficiency is 1.7kWh/mile, but there is a clear path to 1.6, possibly 1.5",2,0,1,negative,neutral
1.33e+18,https://x.com/elonmusk/status/1329206361469710336,@shifthappends @Tesla A lot of my brain space is spent dealing with both units!,A lot of my brain space is spent dealing with both units!,1,0,1,negative,neutral
1.71e+18,https://x.com/elonmusk/status/1710076620995006556,@CollinRugg @MarioNawfal It’s gonna be amazing. The amount of dirt that will come to light from certain past and present people at these agencies will blow your mind.,It's gonna be amazing. The amount of dirt that will come to light from certain past and present people at these agencies will blow your mind.,2,0,2,negative,positive
1.88e+18,https://x.com/elonmusk/status/1877569861758390382,Competence saves lives,Competence saves lives,2,0,2,negative,positive
1.33e+18,https://x.com/elonmusk/status/1331391132367015937,@flcnhvy @thesheetztweetz Major upgrades are slated for SN15,Major upgrades are slated for SN15,2,0,1,negative,neutral
1.88e+18,https://x.com/elonmusk/status/1878281096279867606,"Swords were the guns of the Middle Ages. 

And don’t even get me started on crossbows!

 https://t.co/usInl3QQp2",Swords were the guns of the Middle Ages. And don't even get me started on crossbows!,1,0,1,negative,neutral
1.69e+18,https://x.com/elonmusk/status/1688761718904623104,Falcon flies again,Falcon flies again,2,0,1,negative,neutral
1.45e+18,https://x.com/elonmusk/status/1446535128545693699,@LifeofMikej @TeslaOwnersBC @DriveTeslaca @Tesla @Teslarati There are many small joys as you explore the car &amp; more to come via software updates,There are many small joys as you explore the car & more to come via software updates,2,1,2,neutral,positive
1.01e+18,https://x.com/elonmusk/status/1012604447552204805,"@JaneidyEve Everything is sentient, especially sentience","Everything is sentient, especially sentience",1,0,1,negative,neutral
1.39e+18,https://x.com/elonmusk/status/1385106006141587459,"@ValaAfshar Very important. Most people don’t know this. Wind is also super cheap, especially when paired with batteries.","Very important. Most people don't know this. Wind is also super cheap, especially when paired with batteries.",2,0,2,negative,positive
1.58e+18,https://x.com/elonmusk/status/1580307136952692737,@teslaownersSV The counter-intuitive thing is that it’s actually gonna be a sick product!,The counter-intuitive thing is that it's actually gonna be a sick product!,2,0,2,negative,positive
7.51e+17,https://x.com/elonmusk/status/750835746613915648,"@jacobrossi All publicly known Tesla product developments are called out, incl vehicles and batteries. Would be odd *not* to include.","All publicly known Tesla product developments are called out, incl vehicles and batteries. Would be odd *not* to include.",1,0,1,negative,neutral
1.01e+18,https://x.com/elonmusk/status/1008385171744174080,"@leechy3 @kausthav_ray @SpaceX SX 300 &amp; soon SX 500. Kind of a modern version of Inconel superalloys. High strength at temperature, extreme oxidation resistance. Needed for ~800 atmosphere, hot, oxygen-rich turbopump on Raptor rocket engine.","SX 300 & soon SX 500. Kind of a modern version of Inconel superalloys. High strength at temperature, extreme oxidation resistance. Needed for ~800 atmosphere, hot, oxygen-rich turbopump on Raptor rocket engine.",1,0,1,negative,neutral
1.82e+18,https://x.com/elonmusk/status/1823612328962596918,@Vitolii_ @nearcyan It is quite fun!,It is quite fun!,2,0,2,negative,positive
1.53e+18,https://x.com/elonmusk/status/1527736730178158597,@Shem_Infinite I only heard about it last month and was blown away,I only heard about it last month and was blown away,2,0,2,negative,positive
1e+18,https://x.com/elonmusk/status/1001857257254993921,"@IndianInterest Actually, Hyperloop draws a near vacuum in tube &amp; each pod is powered w electric motors. It is opposite of pneumatically powered.","Actually, Hyperloop draws a near vacuum in tube & each pod is powered w electric motors. It is opposite of pneumatically powered.",1,0,1,negative,neutral
1.68e+18,https://x.com/elonmusk/status/1682964056615931904,@AIFutureDesign @TwitterMovies I wouldn’t wear pink if you put a gun to my head,I wouldn't wear pink if you put a gun to my head,0,1,0,neutral,negative
1.64e+18,https://x.com/elonmusk/status/1640503312146464768,@GAINNowAmerica Not having a massive short position against Tesla would be a step in the right direction!,Not having a massive short position against Tesla would be a step in the right direction!,2,0,2,negative,positive
1.18e+18,https://x.com/elonmusk/status/1177066483375058944,"@Jennerator211 @Erdayastronaut Mk1 ship is around 200 tons dry &amp; 1400 tons wet, but aiming for 120 by Mk4 or Mk5. Total stack mass with max payload is 5000 tons.","Mk1 ship is around 200 tons dry & 1400 tons wet, but aiming for 120 by Mk4 or Mk5. Total stack mass with max payload is 5000 tons.",1,0,1,negative,neutral
1.17e+18,https://x.com/elonmusk/status/1166126085903282177,"@SciGuySpace Raptor uses dual redundant torch igniters. Better long-term, but more finicky in development.","Raptor uses dual redundant torch igniters. Better long-term, but more finicky in development.",1,2,1,positive,neutral
1.13e+18,https://x.com/elonmusk/status/1129940276745609219,Also porting Unreal Engine,Also porting Unreal Engine,1,0,1,negative,neutral
1.76e+18,https://x.com/elonmusk/status/1762146007385805300,"@zerohedge My guess is zero people get fired and they just fix the obvious stuff, while leaving the overall manipulation in place","My guess is zero people get fired and they just fix the obvious stuff, while leaving the overall manipulation in place",0,0,1,negative,neutral
1.34e+18,https://x.com/elonmusk/status/1337559580801425409,"@ErcXspace @SpaceX Ship leeward side will be bare metal, windward will have black, hexagonal heat shield tiles","Ship leeward side will be bare metal, windward will have black, hexagonal heat shield tiles",1,0,1,negative,neutral
1.67e+18,https://x.com/elonmusk/status/1667552341271117826,@UpdatingOnRome No Corvus needed https://t.co/J6ObNgnKCN,No Corvus needed,1,0,1,negative,neutral
1.65e+18,https://x.com/elonmusk/status/1650676341795090432,"@MuskUniversity Can’t shrink humans, so need big rocket","Can't shrink humans, so need big rocket",1,1,0,neutral,negative
1.55e+18,https://x.com/elonmusk/status/1547761081841397762,"@Erdayastronaut @SpaceX @Caspar_Stanley @IzanRamos2002 Enabling engines to take the heat without shrouds might save over 10 tons, all things considered.

Shrouds are also a risk in that fuel leaks could be contained by the shroud, forming a MOX bomb.

Booster is purging all 33 engine shrouds in flight to prevent this.","Enabling engines to take the heat without shrouds might save over 10 tons, all things considered. Shrouds are also a risk in that fuel leaks could be contained by the shroud, forming a MOX bomb. Booster is purging all 33 engine shrouds in flight to prevent this.",1,0,1,negative,neutral
9e+17,https://x.com/elonmusk/status/900376843210981376,"@KonstDubbed Yeah. It's kinda disgusting, but my boys and I love it :)","Yeah. It's kinda disgusting, but my boys and I love it :)",2,2,0,positive,negative
1.88e+18,https://x.com/elonmusk/status/1879534990297575474,@stillgray They’re running out of room to imprison people for social media posting,They're running out of room to imprison people for social media posting,0,1,0,neutral,negative
1.67e+18,https://x.com/elonmusk/status/1670147972368330753,@ZubyMusic Ad-free version if you subscribe to Zuby!,Ad-free version if you subscribe to Zuby!,2,1,2,neutral,positive
1.69e+18,https://x.com/elonmusk/status/1687520435825745920,"The New York Times actually has the nerve to support calls for genocide! If ever there was a time to cancel that publication, it is now.

You can read their articles for free anyway using https://t.co/2NjvMTsWmj. https://t.co/ow11wxw7Ny","The New York Times actually has the nerve to support calls for genocide! If ever there was a time to cancel that publication, it is now. You can read their articles for free anyway using",0,1,0,neutral,negative
1.82e+18,https://x.com/elonmusk/status/1816938500085686605,"@farzyness True, although the former is outdoing the latter","True, although the former is outdoing the latter",1,2,1,positive,neutral
1.11e+18,https://x.com/elonmusk/status/1109895691587862528,"To be precise, midnight on April 1, so effective April 2","To be precise, midnight on April 1, so effective April 2",1,2,1,positive,neutral
1.84e+18,https://x.com/elonmusk/status/1838338126567088242,Very misleading …,Very misleading …,0,2,0,positive,negative
1.87e+18,https://x.com/elonmusk/status/1870910663700390365,"I’d like to propose that Congress pass a “Save the Bureaucracy” bill, based on the premise that any given bill will do the opposite of its name 🤣🤣","I'd like to propose that Congress pass a ""Save the Bureaucracy"" bill, based on the premise that any given bill will do the opposite of its name",0,0,1,negative,neutral
1.28e+18,https://x.com/elonmusk/status/1282492573383184386,@MightyTesla @SamTalksTesla @ElonsWorld @Nikola_Truth @WholeMarsBlog @RenataKonkoly @stevenmarkryan @vincent13031925 @HyperChangeTV @TeslaPodcast Hell of a ride!,Hell of a ride!,2,0,2,negative,positive
1.76e+18,https://x.com/elonmusk/status/1760323775768453481,"@RichardHanania Yeah, the legacy media is obsessed","Yeah, the legacy media is obsessed",0,2,0,positive,negative
1.28e+18,https://x.com/elonmusk/status/1276957305842528256,@BLKMDL3 Major Supercharger increases are underway for the greater LA area,Major Supercharger increases are underway for the greater LA area,2,0,1,negative,neutral
1.01e+18,https://x.com/elonmusk/status/1008124944289370113,"@michaelshermer Direct democracy by the people. Laws must be short, as there is trickery in length. Automatic expiration of rules to prevent death by bureaucracy. Any rule can be removed by 40% of people to overcome inertia. Freedom.","Direct democracy by the people. Laws must be short, as there is trickery in length. Automatic expiration of rules to prevent death by bureaucracy. Any rule can be removed by 40% of people to overcome inertia. Freedom.",1,0,1,negative,neutral
1.83e+18,https://x.com/elonmusk/status/1833879567838453782,"If you want to know more about the content of a post, just highlight and ask Grok!","If you want to know more about the content of a post, just highlight and ask Grok!",2,2,1,positive,neutral
1.72e+18,https://x.com/elonmusk/status/1717989656485105994,Maybe time’s just a construct of human perception. An illusion created by … https://t.co/iiDxRoPJwv,Maybe time's just a construct of human perception. An illusion created by …,1,2,1,positive,neutral
1.29e+18,https://x.com/elonmusk/status/1285830270709403648,"You don’t have a soul, you are a soul","You don't have a soul, you are a soul",1,2,1,positive,neutral
1.9e+18,https://x.com/elonmusk/status/1900858831237767246,"SpaceX will launch over 90% of all of Earth’s payload mass to orbit this year. 

China will be ~5% and rest of world, including rest of America, around 5%.

When Starship is launching at high rate, SpaceX will probably carry &gt;99% of Earth’s payload mass to orbit. This is","SpaceX will launch over 90% of all of Earth's payload mass to orbit this year. China will be ~5% and rest of world, including rest of America, around 5%. When Starship is launching at high rate, SpaceX will probably carry >99% of Earth's payload mass to orbit. This is",2,0,1,negative,neutral
1.76e+18,https://x.com/elonmusk/status/1761920119645818918,The main way legacy media lies is by controlling the narrative,The main way legacy media lies is by controlling the narrative,0,1,0,neutral,negative
1.7e+18,https://x.com/elonmusk/status/1703327746955551060,@BillMelugin_ @firehawkphoto The Joker is winning in real life in our cities in America,The Joker is winning in real life in our cities in America,0,2,1,positive,neutral
1.86e+18,https://x.com/elonmusk/status/1864849107585560726,@alx He’s a tough negotiator 😂,He's a tough negotiator,1,0,1,negative,neutral
1.68e+18,https://x.com/elonmusk/status/1682594510545584128,@DirtyTesLa Reduces unnecessary slowdowns,Reduces unnecessary slowdowns,2,0,1,negative,neutral
1.73e+18,https://x.com/elonmusk/status/1733237507431526635,@alifarhat79 I am told that there is no evidence that he ever visited the island,I am told that there is no evidence that he ever visited the island,1,1,0,neutral,negative
1.9e+18,https://x.com/elonmusk/status/1904370059532980540,@moment_mirthful @DOGE @SocialSecurity I’d like to meet them!,I'd like to meet them!,2,1,2,neutral,positive
1.89e+18,https://x.com/elonmusk/status/1886697613644218435,"@unusual_whales Should be called the “Shady Business Administration”. 

Only 8% of loans are paid back!","Should be called the ""Shady Business Administration"". Only 8% of loans are paid back!",0,1,0,neutral,negative
1.8e+18,https://x.com/elonmusk/status/1798703949714985032,We do actually have acquisition signal. 11 internal cameras are transmitting. Figuring out why external cameras aren’t.,We do actually have acquisition signal. 11 internal cameras are transmitting. Figuring out why external cameras aren't.,1,0,1,negative,neutral
1.85e+18,https://x.com/elonmusk/status/1852362688325656884,Women are exceeding men in academia,Women are exceeding men in academia,2,0,2,negative,positive
1.73e+18,https://x.com/elonmusk/status/1728213431201792492,@DanielleFong Context switching is the mindkiller,Context switching is the mindkiller,0,1,0,neutral,negative
1.89e+18,https://x.com/elonmusk/status/1888036647972774014,Exactly. Total madness!,Exactly. Total madness!,0,2,0,positive,negative
1.82e+18,https://x.com/elonmusk/status/1819548856910012724,@hoovlet Detailed explanation,Detailed explanation,1,2,1,positive,neutral
1.64e+18,https://x.com/elonmusk/status/1641712856897839110,@nichegamer Really that good?,Really that good?,1,0,1,negative,neutral
1.89e+18,https://x.com/elonmusk/status/1894417769707573618,"I will do whatever I can.

There are limitations place upon me.",I will do whatever I can. There are limitations place upon me.,1,0,1,negative,neutral
1.62e+18,https://x.com/elonmusk/status/1618306035340709888,"@BretWeinstein Several aspects of For You recommendations were fixed last night. Team and were in the office past midnight.

You should see improvements, but we are continuing to monitor.","Several aspects of For You recommendations were fixed last night. Team and were in the office past midnight. You should see improvements, but we are continuing to monitor.",2,1,2,neutral,positive
1.9e+18,https://x.com/elonmusk/status/1895257766815768940,@EricLDaugh Something fishy is going on,Something fishy is going on,0,1,0,neutral,negative
1.83e+18,https://x.com/elonmusk/status/1833345969074933963,@pmarca Removing the immense number of pointless regulations and shifting investment to the private sector is the key,Removing the immense number of pointless regulations and shifting investment to the private sector is the key,2,0,1,negative,neutral
1.4e+18,https://x.com/elonmusk/status/1404330986951766021,@DELTA_V @spacex360 So much more is needed for life to become multiplanetary,So much more is needed for life to become multiplanetary,1,2,1,positive,neutral
3.22e+17,https://x.com/elonmusk/status/321637861147426816,In TX to make the case for allowing Tesla to sell cars. Pls come to Capitol Room E2.014 at 1:30! http://t.co/WR3WXE8SFe,In TX to make the case for allowing Tesla to sell cars. Pls come to Capitol Room E2.014 at 1:30!,1,0,1,negative,neutral
1.62e+18,https://x.com/elonmusk/status/1616570445226180623,@ezralevant Power to the people!,Power to the people!,2,1,2,neutral,positive
1.68e+18,https://x.com/elonmusk/status/1677356061546749957,"@shellenberger With the exception of this platform, large social media companies gladly engage in heavy censorship","With the exception of this platform, large social media companies gladly engage in heavy censorship",0,1,0,neutral,negative
1.4e+18,https://x.com/elonmusk/status/1395072357765627904,@SenBillNelson I would like to second that congratulations. Outstanding accomplishment by China!,I would like to second that congratulations. Outstanding accomplishment by China!,2,0,2,negative,positive
1.8e+18,https://x.com/elonmusk/status/1797286297960165863,I love monuments to hubris,I love monuments to hubris,2,2,0,positive,negative
1.57e+18,https://x.com/elonmusk/status/1571154307759603718,to help mend the fault in our stars,to help mend the fault in our stars,1,0,1,negative,neutral
1.79e+18,https://x.com/elonmusk/status/1787516961074930002,"@EndWokeness @camhigby Wow, she is proudly racist!!","Wow, she is proudly racist!!",0,2,0,positive,negative
1.38e+18,https://x.com/elonmusk/status/1375909123246686212,"@summerlinARK It’s not really possible to match the human brain in 2021 for any amount of money imo, but it will be possible probably in a few years","It's not really possible to match the human brain in 2021 for any amount of money imo, but it will be possible probably in a few years",1,0,1,negative,neutral
1.16e+18,https://x.com/elonmusk/status/1157954787926773760,@banQuo__ Mad skillz,Mad skillz,2,0,2,negative,positive
1.53e+18,https://x.com/elonmusk/status/1529100718065569792,"Contrary to what many think, the richer someone is, the fewer kids they have.

I am a rare exception. Most people I know have zero or one kid.","Contrary to what many think, the richer someone is, the fewer kids they have. I am a rare exception. Most people I know have zero or one kid.",1,0,1,negative,neutral
1.22e+18,https://x.com/elonmusk/status/1217995711196778497,@jameslin123321 @Erdayastronaut Helping to pay for this is why I’m accumulating assets on Earth.,Helping to pay for this is why I'm accumulating assets on Earth.,1,0,1,negative,neutral
1.13e+18,https://x.com/elonmusk/status/1131676702491283456,"@EcoHeliGuy @Erdayastronaut @JaneidyEve @13ericralph31 @SPEXcast @bluemoondance74 @Orion_Sword @Some1gee @SpaceX Yes, will be used for rear cargo storage. Also helps manage center of mass for heavy payloads when forward cargo is full.","Yes, will be used for rear cargo storage. Also helps manage center of mass for heavy payloads when forward cargo is full.",1,2,1,positive,neutral
1.46e+18,https://x.com/elonmusk/status/1457083243933601802,@Rainmaker1973 Tesla Autopilot spends a lot of effort on minimizing jerk,Tesla Autopilot spends a lot of effort on minimizing jerk,1,2,1,positive,neutral
1.77e+18,https://x.com/elonmusk/status/1773934659287605651,@pmarca Expansion of consciousness in all its forms,Expansion of consciousness in all its forms,2,1,2,neutral,positive
1.89e+18,https://x.com/elonmusk/status/1892842450370142405,Restoring solvency to America is essential to protect Social Security &amp; medical care,Restoring solvency to America is essential to protect Social Security & medical care,1,0,1,negative,neutral
1.79e+18,https://x.com/elonmusk/status/1785235408948756923,@DavidSacks The Forever War,The Forever War,0,0,1,negative,neutral
1.91e+18,https://x.com/elonmusk/status/1910092373981630862,SuperGrok is free for students,SuperGrok is free for students,2,1,2,neutral,positive
1.1e+18,https://x.com/elonmusk/status/1095945664876462080,"@TslaTimeCapsule @BMWi @Audi @Cadillac @WSJ @28delayslater Wow, 2013","Wow, 2013",2,1,2,neutral,positive
1.87e+18,https://x.com/elonmusk/status/1874582546283172251,@robbystarbuck @X @premium Seems to be a bug. Please post screenshots. X just has a small crew working on Jan 1.,Seems to be a bug. Please post screenshots. X just has a small crew working on Jan 1.,1,1,0,neutral,negative
