id,url,fullText,clean_txt,label,finetuned_roberta_pred,gemma_4-31B_pred,finetuned_roberta_pred_label,gemma_4-31B_pred_label
1.79e+18,https://x.com/elonmusk/status/1790628275901088149,"@WholeMarsBlog I don’t comment on everything, as sometimes I don’t see it and commenting on everything makes it easy to fish for information. 

The take rate is much higher than 2%. Please.","I don't comment on everything, as sometimes I don't see it and commenting on everything makes it easy to fish for information. The take rate is much higher than 2%. Please.",1,1,0,neutral,negative
1.58e+18,https://x.com/elonmusk/status/1580600379074523136,"@leehumerian Starlink requires nothing except ~50 Watt power source. With a small solar system plus battery or a generator, you will have connectivity anywhere.","Starlink requires nothing except ~50 Watt power source. With a small solar system plus battery or a generator, you will have connectivity anywhere.",2,1,2,neutral,positive
1.89e+18,https://x.com/elonmusk/status/1889726466880831682,@Suffragent_ @guardian Another fake judge,Another fake judge,0,1,0,neutral,negative
1.78e+18,https://x.com/elonmusk/status/1784785885416067521,"@MuskBreaking Thanks George ❤️ 

We redirected everyone who wasn’t building cars to delivering cars – legal, finance, HR, designers, everyone. I personally delivered many cars. 

Tesla was out of cash, so it was a case of deliver or die. The team delivered.","Thanks George ️ We redirected everyone who wasn't building cars to delivering cars – legal, finance, HR, designers, everyone. I personally delivered many cars. Tesla was out of cash, so it was a case of deliver or die. The team delivered.",2,1,2,neutral,positive
1.82e+18,https://x.com/elonmusk/status/1824576240616898594,"@cb_doge Grok Mini is best for most queries. 

Full Grok is best used for complex questions.",Grok Mini is best for most queries. Full Grok is best used for complex questions.,1,1,2,neutral,positive
1.25e+18,https://x.com/elonmusk/status/1253373112202211329,"@teslaownersSV @TOGregTO Side camera view looks a little weird, as meant for self-driving, but will review with team. Image will need a little post-processing.","Side camera view looks a little weird, as meant for self-driving, but will review with team. Image will need a little post-processing.",1,0,1,negative,neutral
1.68e+18,https://x.com/elonmusk/status/1675952678923390977,@cb_doge Absolutely. Not doing so is crazy.,Absolutely. Not doing so is crazy.,2,0,2,negative,positive
1.78e+18,https://x.com/elonmusk/status/1780370067987009711,"Legacy media simply can’t compete with hundreds of millions of humans providing real-time, AI-assisted, interactive information","Legacy media simply can't compete with hundreds of millions of humans providing real-time, AI-assisted, interactive information",0,1,2,neutral,positive
1.79e+18,https://x.com/elonmusk/status/1786436088875077772,@MarioNawfal White House book burning,White House book burning,0,1,0,neutral,negative
1.72e+18,https://x.com/elonmusk/status/1719521352820863382,@SawyerMerritt Competing with SpaceX is tough,Competing with SpaceX is tough,1,0,1,negative,neutral
1.69e+18,https://x.com/elonmusk/status/1694112544342913533,@PrinceVogel He is now in logo heaven,He is now in logo heaven,1,1,2,neutral,positive
1.72e+18,https://x.com/elonmusk/status/1722389617360458012,"@twrobinette @DirtyTesLa Yeah, advanced AI is needed to solve real-world driving","Yeah, advanced AI is needed to solve real-world driving",1,1,2,neutral,positive
1.81e+18,https://x.com/elonmusk/status/1811783320839008381,"The European Commission offered 𝕏 an illegal secret deal: if we quietly censored speech without telling anyone, they would not fine us. 

The other platforms accepted that deal. 

𝕏 did not.","The European Commission offered 𝕏 an illegal secret deal: if we quietly censored speech without telling anyone, they would not fine us. The other platforms accepted that deal. 𝕏 did not.",0,1,0,neutral,negative
1.88e+18,https://x.com/elonmusk/status/1876891493014569426,"@JustinTrudeau Girl, you’re not the governor of Canada anymore, so doesn’t matter what you say","Girl, you're not the governor of Canada anymore, so doesn't matter what you say",0,1,0,neutral,negative
1.75e+18,https://x.com/elonmusk/status/1752922071229722990,"The public vote is unequivocally in favor of Texas!

Tesla will move immediately to hold a shareholder vote to transfer state of incorporation to Texas.",The public vote is unequivocally in favor of Texas! Tesla will move immediately to hold a shareholder vote to transfer state of incorporation to Texas.,2,1,2,neutral,positive
1.59e+18,https://x.com/elonmusk/status/1593535742285750272,"@WholeMarsBlog Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!","Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!",2,1,2,neutral,positive
1.05e+18,https://x.com/elonmusk/status/1045828553751711746,That was intense,That was intense,1,2,1,positive,neutral
1.53e+18,https://x.com/elonmusk/status/1529631588417421312,"@teslaownersSV @RyanGirdusky @GoodPoliticGuy If birth rates remain unchanged, South Korea will be ~6% of its current population in three generations, with a majority of people over age 60","If birth rates remain unchanged, South Korea will be ~6% of its current population in three generations, with a majority of people over age 60",0,1,0,neutral,negative
1.47e+18,https://x.com/elonmusk/status/1469006861588434959,@_rykllan @SpaceX @FelixSchlang @MarcusHouse @Erdayastronaut @bluemoondance74 @NextHorizonsSF Rocket fleets grows,Rocket fleets grows,2,1,2,neutral,positive
8.76e+17,https://x.com/elonmusk/status/875509067011153924,"$300M cost diff between SpaceX and Boeing/Lockheed exceeds avg value of satellite, so flying with SpaceX means satellite is basically free https://t.co/CaOulCf7ot","$300M cost diff between SpaceX and Boeing/Lockheed exceeds avg value of satellite, so flying with SpaceX means satellite is basically free",2,1,2,neutral,positive
9.45e+17,https://x.com/elonmusk/status/944710976930070528,"46k limited edition boring hats sold, 4K to go. Then flamethrower.","46k limited edition boring hats sold, 4K to go. Then flamethrower.",2,1,2,neutral,positive
1.89e+18,https://x.com/elonmusk/status/1887710700912472443,"Anyone want to create a hard-hitting show on 𝕏 called 69 Minutes?

I will actually fund it!",Anyone want to create a hard-hitting show on 𝕏 called 69 Minutes? I will actually fund it!,2,1,2,neutral,positive
1.82e+18,https://x.com/elonmusk/status/1824897175391735997,"@dvorahfr I’d like to say that it’s always a strength, but there are important exceptions:

1. When empathy towards immigrants who have antithetical and intransigent beliefs leads to civilizational suicide.

2. When there is too much empathy for violent criminals, rather than their","I'd like to say that it's always a strength, but there are important exceptions: 1. When empathy towards immigrants who have antithetical and intransigent beliefs leads to civilizational suicide. 2. When there is too much empathy for violent criminals, rather than their",0,1,0,neutral,negative
9.99e+17,https://x.com/elonmusk/status/999361510915768320,@jaspar Oh hey another sanctimonious media person who thinks he’s above criticism. Try being truthful &amp; the public will believe you again.,Oh hey another sanctimonious media person who thinks he's above criticism. Try being truthful & the public will believe you again.,0,1,0,neutral,negative
1.63e+18,https://x.com/elonmusk/status/1630654820565614593,"@Erdayastronaut Raptor start is now reliable on the test stand under most conditions. 

Now we’re working on dynamically adapting the start sequence based on increasingly difficult propellant inlet pressures &amp; temps. 

Operating with low pressure, “warm” liquid oxygen is particularly important.","Raptor start is now reliable on the test stand under most conditions. Now we're working on dynamically adapting the start sequence based on increasingly difficult propellant inlet pressures & temps. Operating with low pressure, ""warm"" liquid oxygen is particularly important.",2,1,2,neutral,positive
1.73e+18,https://x.com/elonmusk/status/1732294278448132424,"@EndWokeness There is only so much hotel space, then what?","There is only so much hotel space, then what?",0,1,0,neutral,negative
1.87e+18,https://x.com/elonmusk/status/1865595693005406598,@visegrad24 Someone should tell her that there is a cure now for toxoplasmosis,Someone should tell her that there is a cure now for toxoplasmosis,0,1,0,neutral,negative
1.87e+18,https://x.com/elonmusk/status/1867748874003120293,100th rocket landing this year,100th rocket landing this year,2,1,2,neutral,positive
1.86e+18,https://x.com/elonmusk/status/1861803118746620262,"Most effective is to send https://t.co/bOUOek6al6 links to source material where people can hear what someone actually said, rather than the false representation of the legacy media","Most effective is to send links to source material where people can hear what someone actually said, rather than the false representation of the legacy media",2,1,2,neutral,positive
1.76e+18,https://x.com/elonmusk/status/1764999198624092368,"@dogeofficialceo I’m ready to fight Zuck anywhere, anytime with any rules. LFG!!!","I'm ready to fight Zuck anywhere, anytime with any rules. LFG!!!",2,1,2,neutral,positive
1.6e+18,https://x.com/elonmusk/status/1598631136980131843,"@shortword @M3Marcel @WholeMarsBlog Current efficiency is 1.7kWh/mile, but there is a clear path to 1.6, possibly 1.5","Current efficiency is 1.7kWh/mile, but there is a clear path to 1.6, possibly 1.5",2,1,2,neutral,positive
1.33e+18,https://x.com/elonmusk/status/1331391132367015937,@flcnhvy @thesheetztweetz Major upgrades are slated for SN15,Major upgrades are slated for SN15,2,1,2,neutral,positive
1.38e+18,https://x.com/elonmusk/status/1382459271774834690,@cliffski @F9Block5 Hopefully addressed this summer,Hopefully addressed this summer,1,2,1,positive,neutral
1.69e+18,https://x.com/elonmusk/status/1688761718904623104,Falcon flies again,Falcon flies again,2,1,2,neutral,positive
9.82e+17,https://x.com/elonmusk/status/981975289403076610,@teslatidbits @Tesla We will add a feature to allow request of latest software version,We will add a feature to allow request of latest software version,2,1,2,neutral,positive
1.58e+18,https://x.com/elonmusk/status/1580307136952692737,@teslaownersSV The counter-intuitive thing is that it’s actually gonna be a sick product!,The counter-intuitive thing is that it's actually gonna be a sick product!,2,0,2,negative,positive
7.51e+17,https://x.com/elonmusk/status/750835746613915648,"@jacobrossi All publicly known Tesla product developments are called out, incl vehicles and batteries. Would be odd *not* to include.","All publicly known Tesla product developments are called out, incl vehicles and batteries. Would be odd *not* to include.",1,0,1,negative,neutral
1.75e+18,https://x.com/elonmusk/status/1753193317687308342,This could have been your family. It was someone’s family.,This could have been your family. It was someone's family.,0,1,0,neutral,negative
1.01e+18,https://x.com/elonmusk/status/1008385171744174080,"@leechy3 @kausthav_ray @SpaceX SX 300 &amp; soon SX 500. Kind of a modern version of Inconel superalloys. High strength at temperature, extreme oxidation resistance. Needed for ~800 atmosphere, hot, oxygen-rich turbopump on Raptor rocket engine.","SX 300 & soon SX 500. Kind of a modern version of Inconel superalloys. High strength at temperature, extreme oxidation resistance. Needed for ~800 atmosphere, hot, oxygen-rich turbopump on Raptor rocket engine.",1,1,2,neutral,positive
1.68e+18,https://x.com/elonmusk/status/1682964056615931904,@AIFutureDesign @TwitterMovies I wouldn’t wear pink if you put a gun to my head,I wouldn't wear pink if you put a gun to my head,0,1,0,neutral,negative
1.64e+18,https://x.com/elonmusk/status/1640503312146464768,@GAINNowAmerica Not having a massive short position against Tesla would be a step in the right direction!,Not having a massive short position against Tesla would be a step in the right direction!,2,2,0,positive,negative
1.63e+18,https://x.com/elonmusk/status/1632795933741129728,@jordanbpeterson Idiocracy is happening so fast,Idiocracy is happening so fast,0,1,0,neutral,negative
1.76e+18,https://x.com/elonmusk/status/1762146007385805300,"@zerohedge My guess is zero people get fired and they just fix the obvious stuff, while leaving the overall manipulation in place","My guess is zero people get fired and they just fix the obvious stuff, while leaving the overall manipulation in place",0,1,0,neutral,negative
1.69e+18,https://x.com/elonmusk/status/1685129287194558464,@alx _____ is a hell of a drug,___ is a hell of a drug,1,0,1,negative,neutral
1.77e+18,https://x.com/elonmusk/status/1773856964746805687,"@KettlebellDan People trash me all day. It’s fine. 

Mark Cuban is a 😢 baby.",People trash me all day. It's fine. Mark Cuban is a baby.,0,1,0,neutral,negative
9e+17,https://x.com/elonmusk/status/900376843210981376,"@KonstDubbed Yeah. It's kinda disgusting, but my boys and I love it :)","Yeah. It's kinda disgusting, but my boys and I love it :)",2,1,2,neutral,positive
1.6e+18,https://x.com/elonmusk/status/1598064202400534528,@jhall Cancel culture needs to be canceled!!,Cancel culture needs to be canceled!!,0,1,0,neutral,negative
1.61e+18,https://x.com/elonmusk/status/1606491128127451136,@tobi You can also now play all Steam games on the latest Model S/X cars,You can also now play all Steam games on the latest Model S/X cars,2,1,2,neutral,positive
1.58e+18,https://x.com/elonmusk/status/1577732106784051214,"@KonstantinKisin I do not think it is simple at all, but I have yet to hear any realistic path to peace.

Ukraine has achieved many brilliant tactical victories, but should be wary of overconfidence leading to strategic defeat.

When Russia fully mobilizes, millions on both sides will die.","I do not think it is simple at all, but I have yet to hear any realistic path to peace. Ukraine has achieved many brilliant tactical victories, but should be wary of overconfidence leading to strategic defeat. When Russia fully mobilizes, millions on both sides will die.",0,1,0,neutral,negative
1.51e+18,https://x.com/elonmusk/status/1512944276983975936,Weather is fake. I seen Truman Show!,Weather is fake. I seen Truman Show!,1,1,0,neutral,negative
1.68e+18,https://x.com/elonmusk/status/1681095483173883905,"@levie This will increase the spam level of ads. Fortunately, we already suck at ad targeting on this platform.","This will increase the spam level of ads. Fortunately, we already suck at ad targeting on this platform.",0,1,0,neutral,negative
1.67e+18,https://x.com/elonmusk/status/1670147972368330753,@ZubyMusic Ad-free version if you subscribe to Zuby!,Ad-free version if you subscribe to Zuby!,2,1,2,neutral,positive
1.69e+18,https://x.com/elonmusk/status/1687520435825745920,"The New York Times actually has the nerve to support calls for genocide! If ever there was a time to cancel that publication, it is now.

You can read their articles for free anyway using https://t.co/2NjvMTsWmj. https://t.co/ow11wxw7Ny","The New York Times actually has the nerve to support calls for genocide! If ever there was a time to cancel that publication, it is now. You can read their articles for free anyway using",0,1,0,neutral,negative
1.76e+18,https://x.com/elonmusk/status/1761176276621254807,"Meta Staff Found Instagram Tool Enabled Child Exploitation. The Company Pressed Ahead Anyway.

And yet @Disney spends billions on advertising with Meta … https://t.co/a8TDWMnYNH",Meta Staff Found Instagram Tool Enabled Child Exploitation. The Company Pressed Ahead Anyway. And yet spends billions on advertising with Meta …,0,1,0,neutral,negative
1.87e+18,https://x.com/elonmusk/status/1870910663700390365,"I’d like to propose that Congress pass a “Save the Bureaucracy” bill, based on the premise that any given bill will do the opposite of its name 🤣🤣","I'd like to propose that Congress pass a ""Save the Bureaucracy"" bill, based on the premise that any given bill will do the opposite of its name",0,1,0,neutral,negative
1.76e+18,https://x.com/elonmusk/status/1760323775768453481,"@RichardHanania Yeah, the legacy media is obsessed","Yeah, the legacy media is obsessed",0,1,0,neutral,negative
1.86e+18,https://x.com/elonmusk/status/1862337000411447422,"@pcgamer Who owns you?

PC Gamer used to be great, but turned into unreadable crap for several years.","Who owns you? PC Gamer used to be great, but turned into unreadable crap for several years.",0,1,0,neutral,negative
1.28e+18,https://x.com/elonmusk/status/1276957305842528256,@BLKMDL3 Major Supercharger increases are underway for the greater LA area,Major Supercharger increases are underway for the greater LA area,2,1,2,neutral,positive
1.01e+18,https://x.com/elonmusk/status/1008124944289370113,"@michaelshermer Direct democracy by the people. Laws must be short, as there is trickery in length. Automatic expiration of rules to prevent death by bureaucracy. Any rule can be removed by 40% of people to overcome inertia. Freedom.","Direct democracy by the people. Laws must be short, as there is trickery in length. Automatic expiration of rules to prevent death by bureaucracy. Any rule can be removed by 40% of people to overcome inertia. Freedom.",1,1,2,neutral,positive
1.88e+18,https://x.com/elonmusk/status/1878550409851093287,We are going to position Cybertrucks with Starlinks and free WiFi in a grid pattern in the areas that most need it in the greater LA/Malibu area,We are going to position Cybertrucks with Starlinks and free WiFi in a grid pattern in the areas that most need it in the greater LA/Malibu area,2,1,2,neutral,positive
1.83e+18,https://x.com/elonmusk/status/1833879567838453782,"If you want to know more about the content of a post, just highlight and ask Grok!","If you want to know more about the content of a post, just highlight and ask Grok!",2,1,2,neutral,positive
1.65e+18,https://x.com/elonmusk/status/1645272482885128192,"@TRHLofficial This is a controversial take, but I think it’s time we let women vote","This is a controversial take, but I think it's time we let women vote",1,1,0,neutral,negative
1.29e+18,https://x.com/elonmusk/status/1285830270709403648,"You don’t have a soul, you are a soul","You don't have a soul, you are a soul",1,1,2,neutral,positive
1.32e+18,https://x.com/elonmusk/status/1323639506436825092,"@vincent13031925 @JonErlichman I put in my last money, even though I thought we would still fail. But, it was either that or certain death for Tesla. Extremely difficult to raise money for an electric car startup (considered super quirky back then), while stalwarts like GM &amp; Chrysler were going bankrupt.","I put in my last money, even though I thought we would still fail. But, it was either that or certain death for Tesla. Extremely difficult to raise money for an electric car startup (considered super quirky back then), while stalwarts like GM & Chrysler were going bankrupt.",1,0,1,negative,neutral
1.9e+18,https://x.com/elonmusk/status/1900858831237767246,"SpaceX will launch over 90% of all of Earth’s payload mass to orbit this year. 

China will be ~5% and rest of world, including rest of America, around 5%.

When Starship is launching at high rate, SpaceX will probably carry &gt;99% of Earth’s payload mass to orbit. This is","SpaceX will launch over 90% of all of Earth's payload mass to orbit this year. China will be ~5% and rest of world, including rest of America, around 5%. When Starship is launching at high rate, SpaceX will probably carry >99% of Earth's payload mass to orbit. This is",2,1,2,neutral,positive
1.76e+18,https://x.com/elonmusk/status/1761920119645818918,The main way legacy media lies is by controlling the narrative,The main way legacy media lies is by controlling the narrative,0,1,0,neutral,negative
1.7e+18,https://x.com/elonmusk/status/1703327746955551060,@BillMelugin_ @firehawkphoto The Joker is winning in real life in our cities in America,The Joker is winning in real life in our cities in America,0,2,0,positive,negative
1.86e+18,https://x.com/elonmusk/status/1864849107585560726,@alx He’s a tough negotiator 😂,He's a tough negotiator,1,2,1,positive,neutral
1.68e+18,https://x.com/elonmusk/status/1682594510545584128,@DirtyTesLa Reduces unnecessary slowdowns,Reduces unnecessary slowdowns,2,0,2,negative,positive
1.84e+18,https://x.com/elonmusk/status/1841191704516243640,@TheRabbitHole84 Republicans used to be the “mean &amp; judgy” party and now it is the Democrats,"Republicans used to be the ""mean & judgy"" party and now it is the Democrats",0,1,0,neutral,negative
1.23e+18,https://x.com/elonmusk/status/1226920273753997316,@G_d_Photographr Sounds like we should open a Tesla Center there!,Sounds like we should open a Tesla Center there!,2,1,2,neutral,positive
1.76e+18,https://x.com/elonmusk/status/1755264018145804689,"If I had a dollar for every time the media reported that one of my companies was going to die, I would never need to raise money!","If I had a dollar for every time the media reported that one of my companies was going to die, I would never need to raise money!",0,1,2,neutral,positive
1.57e+18,https://x.com/elonmusk/status/1567192288442388481,@garyblack00 Read the actual ruling. We had zero to do with David Sack’s response. Zero.,Read the actual ruling. We had zero to do with David Sack's response. Zero.,1,1,0,neutral,negative
1.85e+18,https://x.com/elonmusk/status/1852362688325656884,Women are exceeding men in academia,Women are exceeding men in academia,2,2,1,positive,neutral
1.86e+18,https://x.com/elonmusk/status/1860040571626340764,"The most entertaining outcome, especially if ironic, is most likely 😂","The most entertaining outcome, especially if ironic, is most likely",1,2,1,positive,neutral
1.66e+18,https://x.com/elonmusk/status/1657576561288138752,"Poetry with quill 🪶 
Written on rose 🌹 
With my blood 🩸",Poetry with quill 🪶 Written on rose With my blood 🩸,1,1,0,neutral,negative
1.84e+18,https://x.com/elonmusk/status/1844435192884416611,Google is controlled by far left activists,Google is controlled by far left activists,0,1,0,neutral,negative
1.9e+18,https://x.com/elonmusk/status/1895257766815768940,@EricLDaugh Something fishy is going on,Something fishy is going on,0,2,0,positive,negative
9.99e+17,https://x.com/elonmusk/status/999465692859527168,"Maybe the media credibility rating site should be called “You’re Right!”  I do actually own https://t.co/1JqqCF9inA, but for the moment I just have it automatically forward to Facebook News.","Maybe the media credibility rating site should be called ""You're Right!"" I do actually own but for the moment I just have it automatically forward to Facebook News.",1,1,0,neutral,negative
1.83e+18,https://x.com/elonmusk/status/1833345969074933963,@pmarca Removing the immense number of pointless regulations and shifting investment to the private sector is the key,Removing the immense number of pointless regulations and shifting investment to the private sector is the key,2,0,2,negative,positive
1.68e+18,https://x.com/elonmusk/status/1677356061546749957,"@shellenberger With the exception of this platform, large social media companies gladly engage in heavy censorship","With the exception of this platform, large social media companies gladly engage in heavy censorship",0,1,0,neutral,negative
1.52e+18,https://x.com/elonmusk/status/1516946581030903809,@garyblack00 @MartinViecha $1T valuation with $0 advertising spend,$1T valuation with $0 advertising spend,2,1,2,neutral,positive
1.81e+18,https://x.com/elonmusk/status/1809377894571077842,"When is there not one – just one – even *attempted* prosecution of that Epstein (Bill Gates &amp; Reid Hoffman come to mind)
client list. 

Either FBI does their duty or the case for an entire departmental reset or abolishment is strong.",When is there not one – just one – even *attempted* prosecution of that Epstein (Bill Gates & Reid Hoffman come to mind) client list. Either FBI does their duty or the case for an entire departmental reset or abolishment is strong.,0,1,0,neutral,negative
1.8e+18,https://x.com/elonmusk/status/1797286297960165863,I love monuments to hubris,I love monuments to hubris,2,2,0,positive,negative
1.57e+18,https://x.com/elonmusk/status/1571154307759603718,to help mend the fault in our stars,to help mend the fault in our stars,1,1,2,neutral,positive
1.79e+18,https://x.com/elonmusk/status/1787516961074930002,"@EndWokeness @camhigby Wow, she is proudly racist!!","Wow, she is proudly racist!!",0,1,0,neutral,negative
1.5e+18,https://x.com/elonmusk/status/1503831484523819011,"Thank you for the offer, but such excellent training would give me too much of an advantage. 

If he is afraid to fight, I will agree to use only my left hand and I am not even left-handed.

Elona","Thank you for the offer, but such excellent training would give me too much of an advantage. If he is afraid to fight, I will agree to use only my left hand and I am not even left-handed. Elona",2,2,1,positive,neutral
1.42e+18,https://x.com/elonmusk/status/1423682460748066818,"@WholeMarsBlog @NASASpaceflight @BBCAmos There is a reason no fully reusable orbital rocket has been built – it’s an insanely hard problem. 

Moreover, it must be rapidly &amp; completely reusable (like an airplane). This is the only way to make life multiplanetary.

Efficiencies of scale is why Starship is so large.","There is a reason no fully reusable orbital rocket has been built – it's an insanely hard problem. Moreover, it must be rapidly & completely reusable (like an airplane). This is the only way to make life multiplanetary. Efficiencies of scale is why Starship is so large.",1,0,1,negative,neutral
1.22e+18,https://x.com/elonmusk/status/1217995711196778497,@jameslin123321 @Erdayastronaut Helping to pay for this is why I’m accumulating assets on Earth.,Helping to pay for this is why I'm accumulating assets on Earth.,1,1,2,neutral,positive
1.75e+18,https://x.com/elonmusk/status/1748611806543724546,@WallStreetSilv Sick burn,Sick burn,2,0,2,negative,positive
1.77e+18,https://x.com/elonmusk/status/1773934659287605651,@pmarca Expansion of consciousness in all its forms,Expansion of consciousness in all its forms,2,1,2,neutral,positive
1.79e+18,https://x.com/elonmusk/status/1785235408948756923,@DavidSacks The Forever War,The Forever War,0,1,0,neutral,negative
1.91e+18,https://x.com/elonmusk/status/1910092373981630862,SuperGrok is free for students,SuperGrok is free for students,2,1,2,neutral,positive
1.7e+18,https://x.com/elonmusk/status/1702119552316813427,@billmaher Maybe worth posting some material on this platform. The reach is enormous.,Maybe worth posting some material on this platform. The reach is enormous.,2,1,2,neutral,positive
1.87e+18,https://x.com/elonmusk/status/1874582546283172251,@robbystarbuck @X @premium Seems to be a bug. Please post screenshots. X just has a small crew working on Jan 1.,Seems to be a bug. Please post screenshots. X just has a small crew working on Jan 1.,1,0,1,negative,neutral
1.33e+18,https://x.com/elonmusk/status/1330204058817351684,@NASASpaceflight Largest cast titanium part in the world. No heat shielding needed.,Largest cast titanium part in the world. No heat shielding needed.,2,1,2,neutral,positive
1.8e+18,https://x.com/elonmusk/status/1798734748707397991,"@Cmdr_Hadfield @SpaceX Thanks Chris!

A fully and immediately reusable orbital heat shield, which (as you know) has never been made before, is the single toughest problem remaining.

Being able to iterate with many ideas on many ships is key to solving this.","Thanks Chris! A fully and immediately reusable orbital heat shield, which (as you know) has never been made before, is the single toughest problem remaining. Being able to iterate with many ideas on many ships is key to solving this.",2,1,2,neutral,positive
1.57e+18,https://x.com/elonmusk/status/1565884647950626816,@heydave7 Moody’s is irrelevant,Moody's is irrelevant,0,1,0,neutral,negative
1.53e+18,https://x.com/elonmusk/status/1531696049064116225,@PinballReed @crikey_news @ummjackson @cameronwilson And Palmer always forgets to mention that he never wrote a single line of Dogecoin code …,And Palmer always forgets to mention that he never wrote a single line of Dogecoin code …,0,1,0,neutral,negative
