id,url,fullText,clean_txt,label,finetuned_roberta_pred,weighted-naive-bayes-lr_pred,finetuned_roberta_pred_label,weighted-naive-bayes-lr_pred_label
1.65e+18,https://x.com/elonmusk/status/1646953102778552320,@all_in_tok @SFGovTV @theallinpod @DavidSacks @Jason Exactly. Take a walk through downtown around Twitter HQ. Outrageous that city officials would claim that it is not dangerous!,Exactly. Take a walk through downtown around Twitter HQ. Outrageous that city officials would claim that it is not dangerous!,0,0,1,negative,neutral
1.71e+18,https://x.com/elonmusk/status/1708663139070251296,@astro_greek They had to let that sink in. Impossible not to.,They had to let that sink in. Impossible not to.,1,1,0,neutral,negative
1.75e+18,https://x.com/elonmusk/status/1753558150983082216,@PlanetOfMemes The contempt he showed for America is galling,The contempt he showed for America is galling,0,0,1,negative,neutral
1.87e+18,https://x.com/elonmusk/status/1869918113052885470,@WallStreetMav What percentage of the government is even working a week before Christmas anyway? My guess is very low.,What percentage of the government is even working a week before Christmas anyway? My guess is very low.,1,0,1,negative,neutral
1.78e+18,https://x.com/elonmusk/status/1784785885416067521,"@MuskBreaking Thanks George ❤️ 

We redirected everyone who wasn’t building cars to delivering cars – legal, finance, HR, designers, everyone. I personally delivered many cars. 

Tesla was out of cash, so it was a case of deliver or die. The team delivered.","Thanks George ️ We redirected everyone who wasn't building cars to delivering cars – legal, finance, HR, designers, everyone. I personally delivered many cars. Tesla was out of cash, so it was a case of deliver or die. The team delivered.",2,1,2,neutral,positive
1.84e+18,https://x.com/elonmusk/status/1835914640351793229,@MattWalshBlog Because they’re racists?  🤷‍♂️,Because they're racists? ‍♂️,0,0,1,negative,neutral
1.82e+18,https://x.com/elonmusk/status/1824576240616898594,"@cb_doge Grok Mini is best for most queries. 

Full Grok is best used for complex questions.",Grok Mini is best for most queries. Full Grok is best used for complex questions.,1,1,2,neutral,positive
1.85e+18,https://x.com/elonmusk/status/1851161873816903728,@amuse AOC was like murdered like 17 times at least,AOC was like murdered like 17 times at least,0,0,1,negative,neutral
1.79e+18,https://x.com/elonmusk/status/1786436088875077772,@MarioNawfal White House book burning,White House book burning,0,1,2,neutral,positive
1.66e+18,https://x.com/elonmusk/status/1657204060334989312,"@zerohedge So you’re saying there’s a chance we make it? Yesss 💪!!
https://t.co/9aMviVhLMD",So you're saying there's a chance we make it? Yesss !!,2,2,1,positive,neutral
1.81e+18,https://x.com/elonmusk/status/1811783320839008381,"The European Commission offered 𝕏 an illegal secret deal: if we quietly censored speech without telling anyone, they would not fine us. 

The other platforms accepted that deal. 

𝕏 did not.","The European Commission offered 𝕏 an illegal secret deal: if we quietly censored speech without telling anyone, they would not fine us. The other platforms accepted that deal. 𝕏 did not.",0,1,0,neutral,negative
1.83e+18,https://x.com/elonmusk/status/1831535647279943914,They should take you up on the offer. You are super fair.,They should take you up on the offer. You are super fair.,2,2,1,positive,neutral
1.7e+18,https://x.com/elonmusk/status/1702285560541331532,"@dwr 🤣

What is up with the press!?

They seem to be extra sour these days. https://t.co/y8dcWSBAux",What is up with the press!? They seem to be extra sour these days.,0,0,1,negative,neutral
1.63e+18,https://x.com/elonmusk/status/1625580694494928897,"@WallStreetSilv Low birth rates lead to ghost cities and, eventually, ghost civilizations","Low birth rates lead to ghost cities and, eventually, ghost civilizations",0,0,1,negative,neutral
1.05e+18,https://x.com/elonmusk/status/1045828553751711746,That was intense,That was intense,1,2,1,positive,neutral
9.45e+17,https://x.com/elonmusk/status/944710976930070528,"46k limited edition boring hats sold, 4K to go. Then flamethrower.","46k limited edition boring hats sold, 4K to go. Then flamethrower.",2,1,0,neutral,negative
1.89e+18,https://x.com/elonmusk/status/1887710700912472443,"Anyone want to create a hard-hitting show on 𝕏 called 69 Minutes?

I will actually fund it!",Anyone want to create a hard-hitting show on 𝕏 called 69 Minutes? I will actually fund it!,2,1,0,neutral,negative
1.82e+18,https://x.com/elonmusk/status/1824897175391735997,"@dvorahfr I’d like to say that it’s always a strength, but there are important exceptions:

1. When empathy towards immigrants who have antithetical and intransigent beliefs leads to civilizational suicide.

2. When there is too much empathy for violent criminals, rather than their","I'd like to say that it's always a strength, but there are important exceptions: 1. When empathy towards immigrants who have antithetical and intransigent beliefs leads to civilizational suicide. 2. When there is too much empathy for violent criminals, rather than their",0,1,0,neutral,negative
1.66e+18,https://x.com/elonmusk/status/1661035071552344066,"@PeterDiamandis Write it on Twitter! 

Our algorithm automatically gives higher preference for posts which have the most cumulative user-seconds, so native content will be recommended much more than links outside of Twitter.","Write it on Twitter! Our algorithm automatically gives higher preference for posts which have the most cumulative user-seconds, so native content will be recommended much more than links outside of Twitter.",2,1,2,neutral,positive
1.76e+18,https://x.com/elonmusk/status/1764999198624092368,"@dogeofficialceo I’m ready to fight Zuck anywhere, anytime with any rules. LFG!!!","I'm ready to fight Zuck anywhere, anytime with any rules. LFG!!!",2,1,0,neutral,negative
1.33e+18,https://x.com/elonmusk/status/1329206361469710336,@shifthappends @Tesla A lot of my brain space is spent dealing with both units!,A lot of my brain space is spent dealing with both units!,1,1,0,neutral,negative
1.88e+18,https://x.com/elonmusk/status/1877569861758390382,Competence saves lives,Competence saves lives,2,2,1,positive,neutral
1.78e+18,https://x.com/elonmusk/status/1776737723770105983,@WallStreetSilv The AP is responsible for more false information than all “anonymous” accounts combined. It’s not even close.,"The AP is responsible for more false information than all ""anonymous"" accounts combined. It's not even close.",0,0,1,negative,neutral
1.88e+18,https://x.com/elonmusk/status/1878281096279867606,"Swords were the guns of the Middle Ages. 

And don’t even get me started on crossbows!

 https://t.co/usInl3QQp2",Swords were the guns of the Middle Ages. And don't even get me started on crossbows!,1,1,0,neutral,negative
1.45e+18,https://x.com/elonmusk/status/1446535128545693699,@LifeofMikej @TeslaOwnersBC @DriveTeslaca @Tesla @Teslarati There are many small joys as you explore the car &amp; more to come via software updates,There are many small joys as you explore the car & more to come via software updates,2,2,1,positive,neutral
1.39e+18,https://x.com/elonmusk/status/1385106006141587459,"@ValaAfshar Very important. Most people don’t know this. Wind is also super cheap, especially when paired with batteries.","Very important. Most people don't know this. Wind is also super cheap, especially when paired with batteries.",2,2,0,positive,negative
7.51e+17,https://x.com/elonmusk/status/750835746613915648,"@jacobrossi All publicly known Tesla product developments are called out, incl vehicles and batteries. Would be odd *not* to include.","All publicly known Tesla product developments are called out, incl vehicles and batteries. Would be odd *not* to include.",1,0,1,negative,neutral
1.53e+18,https://x.com/elonmusk/status/1527736730178158597,@Shem_Infinite I only heard about it last month and was blown away,I only heard about it last month and was blown away,2,2,0,positive,negative
1.64e+18,https://x.com/elonmusk/status/1640503312146464768,@GAINNowAmerica Not having a massive short position against Tesla would be a step in the right direction!,Not having a massive short position against Tesla would be a step in the right direction!,2,2,1,positive,neutral
1.63e+18,https://x.com/elonmusk/status/1632795933741129728,@jordanbpeterson Idiocracy is happening so fast,Idiocracy is happening so fast,0,1,0,neutral,negative
9.99e+17,https://x.com/elonmusk/status/999010167793504256,"@ericbrownzzz @dmatkins137 @ShayneRarma @NASA But ya know what, let’s test that theory. Maybe we do want UAW back, even tho UAW betrayed us 8 years ago &amp; left us here to rot. Maybe we want UAW back even tho injury rate today is 1/2 what it was with them &amp; wages were lower. Maybe. Let’s hold a vote &amp; find out.","But ya know what, let's test that theory. Maybe we do want UAW back, even tho UAW betrayed us 8 years ago & left us here to rot. Maybe we want UAW back even tho injury rate today is 1/2 what it was with them & wages were lower. Maybe. Let's hold a vote & find out.",0,0,1,negative,neutral
1.76e+18,https://x.com/elonmusk/status/1762146007385805300,"@zerohedge My guess is zero people get fired and they just fix the obvious stuff, while leaving the overall manipulation in place","My guess is zero people get fired and they just fix the obvious stuff, while leaving the overall manipulation in place",0,1,0,neutral,negative
1.69e+18,https://x.com/elonmusk/status/1685129287194558464,@alx _____ is a hell of a drug,___ is a hell of a drug,1,0,1,negative,neutral
1.55e+18,https://x.com/elonmusk/status/1547761081841397762,"@Erdayastronaut @SpaceX @Caspar_Stanley @IzanRamos2002 Enabling engines to take the heat without shrouds might save over 10 tons, all things considered.

Shrouds are also a risk in that fuel leaks could be contained by the shroud, forming a MOX bomb.

Booster is purging all 33 engine shrouds in flight to prevent this.","Enabling engines to take the heat without shrouds might save over 10 tons, all things considered. Shrouds are also a risk in that fuel leaks could be contained by the shroud, forming a MOX bomb. Booster is purging all 33 engine shrouds in flight to prevent this.",1,1,0,neutral,negative
9.52e+17,https://x.com/elonmusk/status/952049059291803648,@DanielleFong @YoungTreeGrower @TylerDoor @ID_AA_Carmack There aren’t even good normal parties in Silicon Valley!,There aren't even good normal parties in Silicon Valley!,0,0,2,negative,positive
1.91e+18,https://x.com/elonmusk/status/1910710839096545304,They just want to cheat,They just want to cheat,0,0,1,negative,neutral
9e+17,https://x.com/elonmusk/status/900376843210981376,"@KonstDubbed Yeah. It's kinda disgusting, but my boys and I love it :)","Yeah. It's kinda disgusting, but my boys and I love it :)",2,1,2,neutral,positive
1.88e+18,https://x.com/elonmusk/status/1879534990297575474,@stillgray They’re running out of room to imprison people for social media posting,They're running out of room to imprison people for social media posting,0,0,1,negative,neutral
1.6e+18,https://x.com/elonmusk/status/1598064202400534528,@jhall Cancel culture needs to be canceled!!,Cancel culture needs to be canceled!!,0,1,0,neutral,negative
1.58e+18,https://x.com/elonmusk/status/1577732106784051214,"@KonstantinKisin I do not think it is simple at all, but I have yet to hear any realistic path to peace.

Ukraine has achieved many brilliant tactical victories, but should be wary of overconfidence leading to strategic defeat.

When Russia fully mobilizes, millions on both sides will die.","I do not think it is simple at all, but I have yet to hear any realistic path to peace. Ukraine has achieved many brilliant tactical victories, but should be wary of overconfidence leading to strategic defeat. When Russia fully mobilizes, millions on both sides will die.",0,1,0,neutral,negative
1.68e+18,https://x.com/elonmusk/status/1681095483173883905,"@levie This will increase the spam level of ads. Fortunately, we already suck at ad targeting on this platform.","This will increase the spam level of ads. Fortunately, we already suck at ad targeting on this platform.",0,1,0,neutral,negative
1.88e+18,https://x.com/elonmusk/status/1875576632326681099,"Legacy media dies a little more with each of their lies that is exposed. 

You are the media now.",Legacy media dies a little more with each of their lies that is exposed. You are the media now.,0,0,1,negative,neutral
1.11e+18,https://x.com/elonmusk/status/1109895691587862528,"To be precise, midnight on April 1, so effective April 2","To be precise, midnight on April 1, so effective April 2",1,1,2,neutral,positive
1.87e+18,https://x.com/elonmusk/status/1870910663700390365,"I’d like to propose that Congress pass a “Save the Bureaucracy” bill, based on the premise that any given bill will do the opposite of its name 🤣🤣","I'd like to propose that Congress pass a ""Save the Bureaucracy"" bill, based on the premise that any given bill will do the opposite of its name",0,1,2,neutral,positive
1.28e+18,https://x.com/elonmusk/status/1282492573383184386,@MightyTesla @SamTalksTesla @ElonsWorld @Nikola_Truth @WholeMarsBlog @RenataKonkoly @stevenmarkryan @vincent13031925 @HyperChangeTV @TeslaPodcast Hell of a ride!,Hell of a ride!,2,2,1,positive,neutral
1.88e+18,https://x.com/elonmusk/status/1878550409851093287,We are going to position Cybertrucks with Starlinks and free WiFi in a grid pattern in the areas that most need it in the greater LA/Malibu area,We are going to position Cybertrucks with Starlinks and free WiFi in a grid pattern in the areas that most need it in the greater LA/Malibu area,2,1,2,neutral,positive
1.9e+18,https://x.com/elonmusk/status/1900858831237767246,"SpaceX will launch over 90% of all of Earth’s payload mass to orbit this year. 

China will be ~5% and rest of world, including rest of America, around 5%.

When Starship is launching at high rate, SpaceX will probably carry &gt;99% of Earth’s payload mass to orbit. This is","SpaceX will launch over 90% of all of Earth's payload mass to orbit this year. China will be ~5% and rest of world, including rest of America, around 5%. When Starship is launching at high rate, SpaceX will probably carry >99% of Earth's payload mass to orbit. This is",2,1,2,neutral,positive
1.7e+18,https://x.com/elonmusk/status/1703327746955551060,@BillMelugin_ @firehawkphoto The Joker is winning in real life in our cities in America,The Joker is winning in real life in our cities in America,0,2,1,positive,neutral
1.86e+18,https://x.com/elonmusk/status/1864849107585560726,@alx He’s a tough negotiator 😂,He's a tough negotiator,1,2,0,positive,negative
1.68e+18,https://x.com/elonmusk/status/1682594510545584128,@DirtyTesLa Reduces unnecessary slowdowns,Reduces unnecessary slowdowns,2,0,1,negative,neutral
1.84e+18,https://x.com/elonmusk/status/1841191704516243640,@TheRabbitHole84 Republicans used to be the “mean &amp; judgy” party and now it is the Democrats,"Republicans used to be the ""mean & judgy"" party and now it is the Democrats",0,1,0,neutral,negative
1.9e+18,https://x.com/elonmusk/status/1904370059532980540,@moment_mirthful @DOGE @SocialSecurity I’d like to meet them!,I'd like to meet them!,2,2,1,positive,neutral
1.86e+18,https://x.com/elonmusk/status/1861797386693353706,"This is undemocratic. The EU parliament should vote directly on matters, not give up authority to the EU commission.","This is undemocratic. The EU parliament should vote directly on matters, not give up authority to the EU commission.",0,0,1,negative,neutral
1.87e+18,https://x.com/elonmusk/status/1865880047912985087,@MikeBenzCyber The sheer magnitude and breadth of the scams in government are mind-blowing,The sheer magnitude and breadth of the scams in government are mind-blowing,0,0,1,negative,neutral
1.76e+18,https://x.com/elonmusk/status/1755264018145804689,"If I had a dollar for every time the media reported that one of my companies was going to die, I would never need to raise money!","If I had a dollar for every time the media reported that one of my companies was going to die, I would never need to raise money!",0,1,0,neutral,negative
1.89e+18,https://x.com/elonmusk/status/1886697613644218435,"@unusual_whales Should be called the “Shady Business Administration”. 

Only 8% of loans are paid back!","Should be called the ""Shady Business Administration"". Only 8% of loans are paid back!",0,0,1,negative,neutral
1.89e+18,https://x.com/elonmusk/status/1892615780119748881,@AdamLowisz @DefiyantlyFree There must be some solution that is not constant daily death of Ukrainian men in trenches,There must be some solution that is not constant daily death of Ukrainian men in trenches,0,0,1,negative,neutral
1.88e+18,https://x.com/elonmusk/status/1877220454349382140,@DefiyantlyFree She must be a genius,She must be a genius,2,2,1,positive,neutral
1.85e+18,https://x.com/elonmusk/status/1852362688325656884,Women are exceeding men in academia,Women are exceeding men in academia,2,2,1,positive,neutral
3.21e+17,https://x.com/elonmusk/status/321409229565075456,@ryanjoyce88 We went through literally hundreds of variants of red trying to find something original that didn't suck.,We went through literally hundreds of variants of red trying to find something original that didn't suck.,1,1,0,neutral,negative
1.73e+18,https://x.com/elonmusk/status/1728213431201792492,@DanielleFong Context switching is the mindkiller,Context switching is the mindkiller,0,0,1,negative,neutral
1.89e+18,https://x.com/elonmusk/status/1888036647972774014,Exactly. Total madness!,Exactly. Total madness!,0,0,1,negative,neutral
1.64e+18,https://x.com/elonmusk/status/1641712856897839110,@nichegamer Really that good?,Really that good?,1,1,2,neutral,positive
1.62e+18,https://x.com/elonmusk/status/1618306035340709888,"@BretWeinstein Several aspects of For You recommendations were fixed last night. Team and were in the office past midnight.

You should see improvements, but we are continuing to monitor.","Several aspects of For You recommendations were fixed last night. Team and were in the office past midnight. You should see improvements, but we are continuing to monitor.",2,2,1,positive,neutral
1.85e+18,https://x.com/elonmusk/status/1848127009375113386,"If America falls, nothing else matters","If America falls, nothing else matters",0,0,1,negative,neutral
1.9e+18,https://x.com/elonmusk/status/1895257766815768940,@EricLDaugh Something fishy is going on,Something fishy is going on,0,2,1,positive,neutral
9.99e+17,https://x.com/elonmusk/status/999465692859527168,"Maybe the media credibility rating site should be called “You’re Right!”  I do actually own https://t.co/1JqqCF9inA, but for the moment I just have it automatically forward to Facebook News.","Maybe the media credibility rating site should be called ""You're Right!"" I do actually own but for the moment I just have it automatically forward to Facebook News.",1,1,2,neutral,positive
1.83e+18,https://x.com/elonmusk/status/1833345969074933963,@pmarca Removing the immense number of pointless regulations and shifting investment to the private sector is the key,Removing the immense number of pointless regulations and shifting investment to the private sector is the key,2,0,1,negative,neutral
1.4e+18,https://x.com/elonmusk/status/1404330986951766021,@DELTA_V @spacex360 So much more is needed for life to become multiplanetary,So much more is needed for life to become multiplanetary,1,1,0,neutral,negative
1.62e+18,https://x.com/elonmusk/status/1616570445226180623,@ezralevant Power to the people!,Power to the people!,2,2,1,positive,neutral
1.65e+18,https://x.com/elonmusk/status/1653567634657656832,@Damadeferroofic These guys? https://t.co/qLxjXDObGH,These guys?,1,1,2,neutral,positive
1.85e+18,https://x.com/elonmusk/status/1853951035326562527,"Hear all sides of an issue on this platform, corrected further by the fully open source @CommunityNotes!","Hear all sides of an issue on this platform, corrected further by the fully open source !",2,2,1,positive,neutral
1.79e+18,https://x.com/elonmusk/status/1787516961074930002,"@EndWokeness @camhigby Wow, she is proudly racist!!","Wow, she is proudly racist!!",0,1,2,neutral,positive
1.16e+18,https://x.com/elonmusk/status/1157954787926773760,@banQuo__ Mad skillz,Mad skillz,2,2,0,positive,negative
1.21e+18,https://x.com/elonmusk/status/1211232157370404864,"@RationalEtienne @EvaFoxU @amargosavalley That might have something to do with it. “Stalin: Court of the Red Tsar” was one of the few books so dark I had to stop reading. If only they’d listened to Lenin’s last wish, much tragedy may have been averted.","That might have something to do with it. ""Stalin: Court of the Red Tsar"" was one of the few books so dark I had to stop reading. If only they'd listened to Lenin's last wish, much tragedy may have been averted.",1,0,1,negative,neutral
1.12e+18,https://x.com/elonmusk/status/1117563769159286784,Winter is coming,Winter is coming,1,1,2,neutral,positive
1.65e+18,https://x.com/elonmusk/status/1645589870100840449,@amuse @96hoya Downtown SF looks like a zombie apocalypse. People who’ve not been there have no idea.,Downtown SF looks like a zombie apocalypse. People who've not been there have no idea.,0,0,1,negative,neutral
1.22e+18,https://x.com/elonmusk/status/1217995711196778497,@jameslin123321 @Erdayastronaut Helping to pay for this is why I’m accumulating assets on Earth.,Helping to pay for this is why I'm accumulating assets on Earth.,1,1,0,neutral,negative
1.87e+18,https://x.com/elonmusk/status/1873971592096866511,@techiedani The brutal reality of the situation will hit like a tsunami towards the end of next year,The brutal reality of the situation will hit like a tsunami towards the end of next year,0,0,1,negative,neutral
1.46e+18,https://x.com/elonmusk/status/1457083243933601802,@Rainmaker1973 Tesla Autopilot spends a lot of effort on minimizing jerk,Tesla Autopilot spends a lot of effort on minimizing jerk,1,2,0,positive,negative
1.89e+18,https://x.com/elonmusk/status/1892842450370142405,Restoring solvency to America is essential to protect Social Security &amp; medical care,Restoring solvency to America is essential to protect Social Security & medical care,1,2,1,positive,neutral
1.79e+18,https://x.com/elonmusk/status/1785235408948756923,@DavidSacks The Forever War,The Forever War,0,1,0,neutral,negative
1.7e+18,https://x.com/elonmusk/status/1702119552316813427,@billmaher Maybe worth posting some material on this platform. The reach is enormous.,Maybe worth posting some material on this platform. The reach is enormous.,2,1,2,neutral,positive
1.1e+18,https://x.com/elonmusk/status/1095945664876462080,"@TslaTimeCapsule @BMWi @Audi @Cadillac @WSJ @28delayslater Wow, 2013","Wow, 2013",2,1,2,neutral,positive
1.87e+18,https://x.com/elonmusk/status/1874582546283172251,@robbystarbuck @X @premium Seems to be a bug. Please post screenshots. X just has a small crew working on Jan 1.,Seems to be a bug. Please post screenshots. X just has a small crew working on Jan 1.,1,0,1,negative,neutral
1.8e+18,https://x.com/elonmusk/status/1798734748707397991,"@Cmdr_Hadfield @SpaceX Thanks Chris!

A fully and immediately reusable orbital heat shield, which (as you know) has never been made before, is the single toughest problem remaining.

Being able to iterate with many ideas on many ships is key to solving this.","Thanks Chris! A fully and immediately reusable orbital heat shield, which (as you know) has never been made before, is the single toughest problem remaining. Being able to iterate with many ideas on many ships is key to solving this.",2,1,2,neutral,positive
1.33e+18,https://x.com/elonmusk/status/1329448467161370638,@Suvitruf @archillect Haha sexy cropping champion of all time,Haha sexy cropping champion of all time,2,2,1,positive,neutral
1.7e+18,https://x.com/elonmusk/status/1704448737639018822,@stclairashley This would be next-level absurd. I’m not building a house of any kind anywhere.,This would be next-level absurd. I'm not building a house of any kind anywhere.,0,0,1,negative,neutral
1.67e+18,https://x.com/elonmusk/status/1671362974072688644,"@Kristennetten To the computer, everything is in slow motion","To the computer, everything is in slow motion",1,1,0,neutral,negative
1.48e+18,https://x.com/elonmusk/status/1482598301694238723,So informative https://t.co/rTktvhYukK,So informative,2,2,0,positive,negative
1.63e+18,https://x.com/elonmusk/status/1632186257659838467,@pmarca People who throw the disinformation word around constantly are almost certainly guilty of engaging in it,People who throw the disinformation word around constantly are almost certainly guilty of engaging in it,0,0,1,negative,neutral
1.59e+18,https://x.com/elonmusk/status/1591849723304071168,@People4Bernie @SenMarkey @washingtonpost Are you suggesting the Senator will abuse his political power to attack me?,Are you suggesting the Senator will abuse his political power to attack me?,0,0,1,negative,neutral
1.72e+18,https://x.com/elonmusk/status/1721620272845836458,"@zerohedge The other platforms engage in constant, usually subtle, censorship. 

Most of the time, you don’t even know it’s happening. 

This just happens to be something that caught people’s attention, so it is hard to hide.","The other platforms engage in constant, usually subtle, censorship. Most of the time, you don't even know it's happening. This just happens to be something that caught people's attention, so it is hard to hide.",0,1,0,neutral,negative
1.54e+17,https://x.com/elonmusk/status/153519464653127680,"@FareedZakaria However, China's real estate crisis will explode in a way that makes ours look puny. They can't hide it for much longer.","However, China's real estate crisis will explode in a way that makes ours look puny. They can't hide it for much longer.",0,0,2,negative,positive
1.42e+18,https://x.com/elonmusk/status/1415346183707545605,"@preachy_spice It was Richard’s rental house, which overall is great, but I agree regarding the cabinets haha. This was 3am, day of flight. Wasn’t expecting this brutal pic of me to be posted, but oh well.","It was Richard's rental house, which overall is great, but I agree regarding the cabinets haha. This was 3am, day of flight. Wasn't expecting this brutal pic of me to be posted, but oh well.",1,1,2,neutral,positive
1.77e+18,https://x.com/elonmusk/status/1770073471608852762,@RepThomasMassie Or a strong-willed President,Or a strong-willed President,1,2,1,positive,neutral
1.11e+18,https://x.com/elonmusk/status/1109901209446416385,"@andrewmackenzie Every car company is constantly changing prices, but nobody cares","Every car company is constantly changing prices, but nobody cares",1,0,1,negative,neutral
1.6e+18,https://x.com/elonmusk/status/1595551706749624321,"@semaforben All public holders of Twitter were allowed to roll their stock into Twitter as a private company, but he did not do so. Your reporting made it falsely sound like he did, when in fact he owns 0%. 

For the last time, how much of you does SBF own? Stop dodging the question.","All public holders of Twitter were allowed to roll their stock into Twitter as a private company, but he did not do so. Your reporting made it falsely sound like he did, when in fact he owns 0%. For the last time, how much of you does SBF own? Stop dodging the question.",0,0,1,negative,neutral
1.76e+18,https://x.com/elonmusk/status/1764055153995309256,"@RandPaul We at least need to know where exactly the money is going and what the exit strategy is.

Either way, government spending is out of control.","We at least need to know where exactly the money is going and what the exit strategy is. Either way, government spending is out of control.",0,0,1,negative,neutral
1.87e+18,https://x.com/elonmusk/status/1873936504520925233,@teslaownersSV It just literally is,It just literally is,1,1,0,neutral,negative
1.32e+18,https://x.com/elonmusk/status/1319059307804045316,"@WholeMarsBlog Not intentional! We just wanted to show that you could theoretically convert the entire US vehicle fleet to electric using only the lithium in Nevada, a single state. Tesla will do lithium mining only as needed. We also found a way to extract lithium using NaCl (table salt).","Not intentional! We just wanted to show that you could theoretically convert the entire US vehicle fleet to electric using only the lithium in Nevada, a single state. Tesla will do lithium mining only as needed. We also found a way to extract lithium using NaCl (table salt).",2,1,0,neutral,negative
1.47e+18,https://x.com/elonmusk/status/1465761470147346435,"@GerberKawasaki We had to shift some Starlink satellite orbits to reduce probability of collision. Not great, but not terrible either.

Station &amp; Dragon have micrometeorite shields (ultra high velocity impact absorption), but EVA suits do not, hence higher risk for spacewalk.","We had to shift some Starlink satellite orbits to reduce probability of collision. Not great, but not terrible either. Station & Dragon have micrometeorite shields (ultra high velocity impact absorption), but EVA suits do not, hence higher risk for spacewalk.",1,0,1,negative,neutral
1.66e+18,https://x.com/elonmusk/status/1662764138043518977,@zerohedge For obvious &amp; sensible reasons,For obvious & sensible reasons,1,2,1,positive,neutral
8.73e+17,https://x.com/elonmusk/status/873306583983247360,"@RITSPEX @ID_AA_Carmack @mmeijeri Slow at first, then very fast. Def not hover.","Slow at first, then very fast. Def not hover.",1,1,0,neutral,negative
2.02e+17,https://x.com/elonmusk/status/201856175644491777,Must remember not to refer to Chimpanzees as deadly killing machines when taking little kids to see a movie about them,Must remember not to refer to Chimpanzees as deadly killing machines when taking little kids to see a movie about them,1,1,0,neutral,negative
1.74e+18,https://x.com/elonmusk/status/1744780200045384116,"@jacksonhinklle @qassam2024 Hamas was calling for the extinction of Israel and, unlike Iran which does the same, are not recognized as leaders of a country by the UN","Hamas was calling for the extinction of Israel and, unlike Iran which does the same, are not recognized as leaders of a country by the UN",0,0,1,negative,neutral
