id,url,fullText,clean_text,label
752193726462586880,https://x.com/elonmusk/status/752193726462586880,@vicentes Probably six months. Will include hundreds of refinements to handle rare corner cases in Autopilot.,Probably six months. Will include hundreds of refinements to handle rare corner cases in Autopilot.,2
752195291093213184,https://x.com/elonmusk/status/752195291093213184,@wfederman @stegen @FortuneMagazine thought I was posting Reuters. Copied the wrong link.,thought I was posting Reuters. Copied the wrong link.,1
752199681166315520,https://x.com/elonmusk/status/752199681166315520,@c4757p @SwiftOnSecurity Unless we get there and find it isn't enough. Just won't be before 1B.,Unless we get there and find it isn't enough. Just won't be before 1B.,0
752201456980078592,https://x.com/elonmusk/status/752201456980078592,@bolayer @SwiftOnSecurity US is ~11 deaths per billion miles. WW is 17 deaths per billion. Autopilot already much better than either so far.,US is ~11 deaths per billion miles. WW is 17 deaths per billion. Autopilot already much better than either so far.,2
752204733339701248,https://x.com/elonmusk/status/752204733339701248,@SwiftOnSecurity I like your tweets!,I like your tweets!,2
752270839458869248,https://x.com/elonmusk/status/752270839458869248,@nickg_uk already taken care of,already taken care of,1
753125662874042368,https://x.com/elonmusk/status/753125662874042368,We don't mind taking the heat for customer safety. It is the right thing to do. From @RoadandTrack https://t.co/D181ui1jB0,We don't mind taking the heat for customer safety. It is the right thing to do. From,2
753781810518122496,https://x.com/elonmusk/status/753781810518122496,"@DMC_Ryan Maybe didn't realize he turned it off, but the car does issue a loud chime and a visual warning on the instrument cluster.","Maybe didn't realize he turned it off, but the car does issue a loud chime and a visual warning on the instrument cluster.",1
753786870379581440,https://x.com/elonmusk/status/753786870379581440,@DanistopMe only just gained access to physical vehicle,only just gained access to physical vehicle,1
753791633204781056,https://x.com/elonmusk/status/753791633204781056,@erik_smith1 @ihavetweets certainly moderate and maybe big advances w no incremental hardware,certainly moderate and maybe big advances w no incremental hardware,2
753843823546028032,https://x.com/elonmusk/status/753843823546028032,"Good thing about radar is that, unlike lidar (which is visible wavelength), it can see through rain, snow, fog and dust","Good thing about radar is that, unlike lidar (which is visible wavelength), it can see through rain, snow, fog and dust",2
753844173313183744,https://x.com/elonmusk/status/753844173313183744,@pfierens Logs were downloaded for NHTSA and NTSB. Identical copies to all.,Logs were downloaded for NHTSA and NTSB. Identical copies to all.,1
754652713418428416,https://x.com/elonmusk/status/754652713418428416,Sensible article on Autopilot by @the guardian https://t.co/BbvXaNI4Xk,Sensible article on Autopilot by guardian,2
754801124755013632,https://x.com/elonmusk/status/754801124755013632,"Tesla customers are v smart &amp; don't want media speaking on their behalf abt Autopilot. Recent poll: 0.0% want it disabled -- not 0.1%, 0.0%.","Tesla customers are v smart &amp; don't want media speaking on their behalf abt Autopilot. Recent poll: 0.0% want it disabled -- not 0.1%, 0.0%.",2
755166100967550976,https://x.com/elonmusk/status/755166100967550976,Can't wait to see all three cores of Falcon Heavy come back for landings! First two will be almost simultaneous. https://t.co/ryMiewZM4L,Can't wait to see all three cores of Falcon Heavy come back for landings! First two will be almost simultaneous.,2
755929747763245056,https://x.com/elonmusk/status/755929747763245056,"Tesla Master Plan, Part Deux
https://t.co/XQeTlsoEdE","Tesla Master Plan, Part Deux",1
755931999487991808,https://x.com/elonmusk/status/755931999487991808,@katiefehren Both should have been done under the same corporate umbrella from the beginning,Both should have been done under the same corporate umbrella from the beginning,1
755940191571808256,https://x.com/elonmusk/status/755940191571808256,@MRamseyWSJ Great game. Whole Fallout series is amazing.,Great game. Whole Fallout series is amazing.,2
756004029239472128,https://x.com/elonmusk/status/756004029239472128,Autopilot prevents serious injury or death of a pedestrian in NY (owner anecdote confirmed by vehicle logs) https://t.co/NceuqckqCK,Autopilot prevents serious injury or death of a pedestrian in NY (owner anecdote confirmed by vehicle logs),2
756664069646487552,https://x.com/elonmusk/status/756664069646487552,@vicentes as long as I'm alive,as long as I'm alive,1
758851109817421824,https://x.com/elonmusk/status/758851109817421824,The libertarian argument for a carbon tax https://t.co/WmbGp2YuUO,The libertarian argument for a carbon tax,1
759247416495316992,https://x.com/elonmusk/status/759247416495316992,Gigafactory in units of hamster https://t.co/9BAchcBX73,Gigafactory in units of hamster,1
759413262899290112,https://x.com/elonmusk/status/759413262899290112,@sethpascale @TeslaMotors glad people had a great time!,glad people had a great time!,2
759797091375906816,https://x.com/elonmusk/status/759797091375906816,@RoadandTrack @TeslaMotors Model Y (compact SUV) off Model 3 chassis. Tesla Bus/Minibus/Spacebus off Model X.,Model Y (compact SUV) off Model 3 chassis. Tesla Bus/Minibus/Spacebus off Model X.,1
762097903452102656,https://x.com/elonmusk/status/762097903452102656,Sure feels weird to find myself defending the robots,Sure feels weird to find myself defending the robots,1
763096729134575616,https://x.com/elonmusk/status/763096729134575616,Would like to thank @nvidia and Jensen for donating the first DGX-1 AI supercomputer to @OpenAI in support of democratizing AI technology,Would like to thank and Jensen for donating the first DGX-1 AI supercomputer to in support of democratizing AI technology,2
763108676039090176,https://x.com/elonmusk/status/763108676039090176,Will try out @NoMansSky this weekend. Maybe reality is just a series of nested simulations all the way down ... https://t.co/DCMr1TVOdL,Will try out this weekend. Maybe reality is just a series of nested simulations all the way down ...,1
769697521706860544,https://x.com/elonmusk/status/769697521706860544,@BelovedRevol Making progress. Maybe something to announce in a few months. Have played all prior Deus Ex. Not this one yet.,Making progress. Maybe something to announce in a few months. Have played all prior Deus Ex. Not this one yet.,1
771005524322033664,https://x.com/elonmusk/status/771005524322033664,Major improvements to Autopilot coming with V8.0 and 8.1 software (std OTA update) primarily through advanced processing of radar signals,Major improvements to Autopilot coming with V8.0 and 8.1 software (std OTA update) primarily through advanced processing of radar signals,2
774153847371501568,https://x.com/elonmusk/status/774153847371501568,Particularly trying to understand the quieter bang sound a few seconds before the fireball goes off. May come from rocket or something else.,Particularly trying to understand the quieter bang sound a few seconds before the fireball goes off. May come from rocket or something else.,1
774154956739743744,https://x.com/elonmusk/status/774154956739743744,"@LewisChandlerDN nope, it wasn't me","nope, it wasn't me",1
775632728548970496,https://x.com/elonmusk/status/775632728548970496,"Climate change explained in comic book form by xkcd 
https://t.co/3tEfEnXW0L",Climate change explained in comic book form by xkcd,1
775732400491868160,https://x.com/elonmusk/status/775732400491868160,Scientists: Earth Endangered by New Strain of Fact-Resistant Humans https://t.co/ihmrY43rHa via @BorowitzReport,Scientists: Earth Endangered by New Strain of Fact-Resistant Humans via,0
775819887348363264,https://x.com/elonmusk/status/775819887348363264,"Comprehensive study by Autolist shows that a Tesla retains its value far better than gasoline sedans
https://t.co/QrBuVj3qKi",Comprehensive study by Autolist shows that a Tesla retains its value far better than gasoline sedans,2
776677760039133184,https://x.com/elonmusk/status/776677760039133184,@danielringdahl @P100D Glad you like it! I think we will probably stop at 100 kWh on battery size.,Glad you like it! I think we will probably stop at 100 kWh on battery size.,2
776827475925934080,https://x.com/elonmusk/status/776827475925934080,@danielringdahl @P100D won't affect performance,won't affect performance,1
776956202936782848,https://x.com/elonmusk/status/776956202936782848,@kzmakino sounds about right,sounds about right,2
778599820227252224,https://x.com/elonmusk/status/778599820227252224,"V8.0 starts downloading tonight. Release will be gradual to make sure there aren't small regressions. Many car configs, many environments.","V8.0 starts downloading tonight. Release will be gradual to make sure there aren't small regressions. Many car configs, many environments.",1
778602042759585792,https://x.com/elonmusk/status/778602042759585792,My favorite new feature is the always-on max temp control for keeping kids and pets safe from overheating.,My favorite new feature is the always-on max temp control for keeping kids and pets safe from overheating.,2
778602694399320064,https://x.com/elonmusk/status/778602694399320064,Tesla keeps temp below 40C/105F by automatically venting cabin &amp; turning on AC when needed. Can do this for up to a year on a full charge.,Tesla keeps temp below 40C/105F by automatically venting cabin &amp; turning on AC when needed. Can do this for up to a year on a full charge.,2
778603745915527168,https://x.com/elonmusk/status/778603745915527168,Can be turned on or off. V8.1 will allow always-on min and max temps to be set.,Can be turned on or off. V8.1 will allow always-on min and max temps to be set.,1
778627254028951552,https://x.com/elonmusk/status/778627254028951552,@thefrownyface @massossltd I read a story about a father whose son died incredibly quickly. Can be as little as half an hour in hot sun.,I read a story about a father whose son died incredibly quickly. Can be as little as half an hour in hot sun.,0
778868961861656576,https://x.com/elonmusk/status/778868961861656576,@tylerthecreator thanks for ordering a car!,thanks for ordering a car!,2
779461663141474304,https://x.com/elonmusk/status/779461663141474304,Good Forbes article on Tesla/SolarCity merger https://t.co/guNh5q2zrl,Good Forbes article on Tesla/SolarCity merger,2
780280440401764352,https://x.com/elonmusk/status/780280440401764352,Production Raptor goal is specific impulse of 382 seconds and thrust of 3 MN (~310 metric tons) at 300 bar,Production Raptor goal is specific impulse of 382 seconds and thrust of 3 MN (~310 metric tons) at 300 bar,1
780608204833165312,https://x.com/elonmusk/status/780608204833165312,"@rocketrepreneur Meant to say 200 AR for production vac engine. Dev will be up to 150. Beyond that, too much flow separation in Earth atmos.","Meant to say 200 AR for production vac engine. Dev will be up to 150. Beyond that, too much flow separation in Earth atmos.",1
780900979294269440,https://x.com/elonmusk/status/780900979294269440,A Million Humans Could Live on Mars By the 2060s https://t.co/d0nlk1xfOl via @NatGeo,A Million Humans Could Live on Mars By the 2060s via,1
781208371378520064,https://x.com/elonmusk/status/781208371378520064,@GoodDayM Am tracking this down ... Super important to be fair. There are zero discounts even for family and friends.,Am tracking this down ... Super important to be fair. There are zero discounts even for family and friends.,1
781264006145335296,https://x.com/elonmusk/status/781264006145335296,"@SteveBatzer @GoodDayM Corrective action taken. Seems to be limited to a small number of cases, but thanks for lett… https://t.co/vrtlttgFwb","Corrective action taken. Seems to be limited to a small number of cases, but thanks for lett…",2
782642916887924736,https://x.com/elonmusk/status/782642916887924736,"No irony or uhh ""shade"" meant here. T's character is excellent and well-played. Worth seeing.","No irony or uhh ""shade"" meant here. T's character is excellent and well-played. Worth seeing.",2
783847197427335168,https://x.com/elonmusk/status/783847197427335168,@derektmead Thus I deserve to be top of the target list? Maybe there's a dude who really digs the color gold who is slightly more deserving…,Thus I deserve to be top of the target list? Maybe there's a dude who really digs the color gold who is slightly more deserving…,0
784441057857589248,https://x.com/elonmusk/status/784441057857589248,@DanMerriweather lot of circumstantial evidence for that hypothesis,lot of circumstantial evidence for that hypothesis,1
784487348562198528,https://x.com/elonmusk/status/784487348562198528,Cumulative Tesla Autopilot miles now at 222 million,Cumulative Tesla Autopilot miles now at 222 million,2
785135480811712512,https://x.com/elonmusk/status/785135480811712512,@FuncRandm I agree. Speed of light is a point in favor of the sim.,I agree. Speed of light is a point in favor of the sim.,2
785483088109326336,https://x.com/elonmusk/status/785483088109326336,Coal-mining CEO: 'Tesla is a fraud' https://t.co/IpQJAlAo3f via @YahooFinance,Coal-mining CEO: 'Tesla is a fraud' via,0
786601762354442240,https://x.com/elonmusk/status/786601762354442240,@vicentes obviously wrong,obviously wrong,0
788902908175618048,https://x.com/elonmusk/status/788902908175618048,Will post video of a Tesla navigating a complex urban environment shortly. That was what took the extra couple of days.,Will post video of a Tesla navigating a complex urban environment shortly. That was what took the extra couple of days.,1
789019145853513728,https://x.com/elonmusk/status/789019145853513728,"Tesla drives itself (no human input at all) thru urban streets to highway to streets, then finds a parking spot https://t.co/V2T7KGMPBo","Tesla drives itself (no human input at all) thru urban streets to highway to streets, then finds a parking spot",2
791321336824012800,https://x.com/elonmusk/status/791321336824012800,"@bstep fixing, but in a slightly different way","fixing, but in a slightly different way",1
791756469305679872,https://x.com/elonmusk/status/791756469305679872,"Solar roof unveil now at 5:30pm sharp (need daylight, for obvious reasons) California time tomorrow.","Solar roof unveil now at 5:30pm sharp (need daylight, for obvious reasons) California time tomorrow.",1
791784652709044224,https://x.com/elonmusk/status/791784652709044224,Solar roof plus Powerwall 2.0 launch event will be webcast live on https://t.co/46TXqRrsdr at 5:30pm PDT tomorrow,Solar roof plus Powerwall 2.0 launch event will be webcast live on at 5:30pm PDT tomorrow,1
792218248917811200,https://x.com/elonmusk/status/792218248917811200,"Solar glass tiles can also incorporate heating elements, like rear defroster on a car, to clear roof of snow and keep generating energy","Solar glass tiles can also incorporate heating elements, like rear defroster on a car, to clear roof of snow and keep generating energy",2
792220517654597632,https://x.com/elonmusk/status/792220517654597632,@BobaFaux strongly net positive,strongly net positive,2
794548584213454848,https://x.com/elonmusk/status/794548584213454848,"Institutional Shareholder Services, world's top independent evaluator, recommends in favor of Tesla-SolarCity merger https://t.co/o17l0Jbswa","Institutional Shareholder Services, world's top independent evaluator, recommends in favor of Tesla-SolarCity merger",2
794553279585742848,https://x.com/elonmusk/status/794553279585742848,Will be on @CNBC with Ron Baron in about half an hour https://t.co/OOL5yv5ue6,Will be on with Ron Baron in about half an hour,1
794557434429771776,https://x.com/elonmusk/status/794557434429771776,"In addition, we reinforced the surrounding body structure for improved safety (was already 5 star in all categories).","In addition, we reinforced the surrounding body structure for improved safety (was already 5 star in all categories).",2
794578637987016704,https://x.com/elonmusk/status/794578637987016704,@bakkedahl use buttons on left side of steering wheel,use buttons on left side of steering wheel,1
794580994263158784,https://x.com/elonmusk/status/794580994263158784,@Locobooff it is not actually left-handed,it is not actually left-handed,1
794698336301219840,https://x.com/elonmusk/status/794698336301219840,@Pmnickbeach @bakkedahl next software update fixes that,next software update fixes that,2
794965733151117312,https://x.com/elonmusk/status/794965733151117312,"@muodebe Both UV and IR (for heat) reflective. I burn easily &amp; then my nose looks like Rudolph the reindeer, so I totally understand.","Both UV and IR (for heat) reflective. I burn easily &amp; then my nose looks like Rudolph the reindeer, so I totally understand.",1
798886670468644864,https://x.com/elonmusk/status/798886670468644864,"@ID_AA_Carmack we could enable that, although the cameras use grey, grey, grey, red detection, so it would look a little greyish red :)","we could enable that, although the cameras use grey, grey, grey, red detection, so it would look a little greyish red :)",1
804205155822374912,https://x.com/elonmusk/status/804205155822374912,Model S smashes into semi truck trailer and lifts it off the ground. Driver walks away. https://t.co/NSuMvcYaA6,Model S smashes into semi truck trailer and lifts it off the ground. Driver walks away.,2
807354766804168704,https://x.com/elonmusk/status/807354766804168704,Forming a rocket nozzle https://t.co/QrpcVyHAXr,Forming a rocket nozzle,1
810126493326209024,https://x.com/elonmusk/status/810126493326209024,"Boring, it's what we do","Boring, it's what we do",0
810135528783937536,https://x.com/elonmusk/status/810135528783937536,@TeslaMotors We are going to modify this so that people only pay a fee if most bays are occupied. If the site is ba… https://t.co/IrXtSbsR5N,We are going to modify this so that people only pay a fee if most bays are occupied. If the site is ba…,1
810156881662590976,https://x.com/elonmusk/status/810156881662590976,I am actually going to do this,I am actually going to do this,1
811738008969842688,https://x.com/elonmusk/status/811738008969842688,Tesla Autopilot vision neural net now working well. Just need to get a lot of road time to validate in a wide range of environments.,Tesla Autopilot vision neural net now working well. Just need to get a lot of road time to validate in a wide range of environments.,2
812105546144694272,https://x.com/elonmusk/status/812105546144694272,"@SamLawrence 8.1, which hopefully goes out next week.","8.1, which hopefully goes out next week.",1
812106617072152576,https://x.com/elonmusk/status/812106617072152576,@Thebeazles Night is easy. Twilight is hardest.,Night is easy. Twilight is hardest.,1
812703071427960832,https://x.com/elonmusk/status/812703071427960832,"@ddaogaru If you don't like the P100DL, you can give it back","If you don't like the P100DL, you can give it back",0
812800512743514112,https://x.com/elonmusk/status/812800512743514112,Deus ex machina on the center screen when it ends,Deus ex machina on the center screen when it ends,1
817123579343028224,https://x.com/elonmusk/status/817123579343028224,Hold-down firing of @SpaceX Falcon 9 at Vandenberg Air Force completed. All systems are go for launch next week.,Hold-down firing of Falcon 9 at Vandenberg Air Force completed. All systems are go for launch next week.,2
818090148608868352,https://x.com/elonmusk/status/818090148608868352,New rev for Autopilot HW2 rolling out Mon to first 1000 &amp; to rest of fleet in shadow mode. Also improves HW1 and enables Ludicrous+.,New rev for Autopilot HW2 rolling out Mon to first 1000 &amp; to rest of fleet in shadow mode. Also improves HW1 and enables Ludicrous+.,2
820932361915203584,https://x.com/elonmusk/status/820932361915203584,"HW2 Autopilot now downloading to all HW2 cars, but in non-actuating mode to assess reliability. If looks good, actuation by end of week.","HW2 Autopilot now downloading to all HW2 cars, but in non-actuating mode to assess reliability. If looks good, actuation by end of week.",1
820934434002063360,https://x.com/elonmusk/status/820934434002063360,"Rewatched ""Ghost in the Shell"" and the end of ""Colossus: The Forbin Project"" https://t.co/ZVUR5RzE5C","Rewatched ""Ghost in the Shell"" and the end of ""Colossus: The Forbin Project""",1
820935727651241984,https://x.com/elonmusk/status/820935727651241984,@FellipeC Not the ideal ending,Not the ideal ending,0
822129390729326592,https://x.com/elonmusk/status/822129390729326592,@gavinnwaters Looking good so far. Should roll out this weekend.,Looking good so far. Should roll out this weekend.,2
822922507535560704,https://x.com/elonmusk/status/822922507535560704,Autopilot for HW2 rolling out to all HW2 cars today. Please be cautious. Some cars will require adjustment of camera pitch angle by service.,Autopilot for HW2 rolling out to all HW2 cars today. Please be cautious. Some cars will require adjustment of camera pitch angle by service.,1
822930188040142848,https://x.com/elonmusk/status/822930188040142848,Giant X made of Model X's by Tesla owners in China! https://t.co/54wXBKiKvp,Giant X made of Model X's by Tesla owners in China!,2
822984601630953472,https://x.com/elonmusk/status/822984601630953472,@dtweiseth Tesla will never stop innovating. People are buying the wrong car if they expect this. There will be maj… https://t.co/6O8yA90zhi,Tesla will never stop innovating. People are buying the wrong car if they expect this. There will be maj…,2
823214178458476544,https://x.com/elonmusk/status/823214178458476544,@dnansink40 Autonomy capability should improve via OTA every 2 to 6 weeks,Autonomy capability should improve via OTA every 2 to 6 weeks,1
823632597284691968,https://x.com/elonmusk/status/823632597284691968,"@stephenstohn Yes, safety should improve significantly due to autonomy features, even if regs disallow no driver present","Yes, safety should improve significantly due to autonomy features, even if regs disallow no driver present",2
824011724357373952,https://x.com/elonmusk/status/824011724357373952,"@danahull Rex is an exceptionally competent executive, understands geopolitics and knows how to win for his team. His team is now the USA.","Rex is an exceptionally competent executive, understands geopolitics and knows how to win for his team. His team is now the USA.",2
824056075217420288,https://x.com/elonmusk/status/824056075217420288,@Michael_McLean That may be a difficult award to decline,That may be a difficult award to decline,1
824141566788898816,https://x.com/elonmusk/status/824141566788898816,@MichaelEMann No they don't,No they don't,1
824147366844436480,https://x.com/elonmusk/status/824147366844436480,@MichaelEMann I'm just saying that we should see what happens first. The actions may be surprising.,I'm just saying that we should see what happens first. The actions may be surprising.,1
824149662366126080,https://x.com/elonmusk/status/824149662366126080,Rex Tillerson supports a carbon tax. This is what is really needed to move the needle. https://t.co/6ne01TOzs1,Rex Tillerson supports a carbon tax. This is what is really needed to move the needle.,2
824182024479133696,https://x.com/elonmusk/status/824182024479133696,Exciting progress on the tunnel front. Plan to start digging in a month or so.,Exciting progress on the tunnel front. Plan to start digging in a month or so.,2
824300186834898944,https://x.com/elonmusk/status/824300186834898944,"@TheSkinsFactory Earthquakes tend to have the biggest effect on the surface, like waves on water. That's why LA can… https://t.co/taeYtloJpD","Earthquakes tend to have the biggest effect on the surface, like waves on water. That's why LA can…",1
825205236956483584,https://x.com/elonmusk/status/825205236956483584,And we start digging the tunnel tonight https://t.co/UYSIU0qg34,And we start digging the tunnel tonight,1
825502400454594560,https://x.com/elonmusk/status/825502400454594560,The blanket entry ban on citizens from certain primarily Muslim countries is not the best way to address the country’s challenges,The blanket entry ban on citizens from certain primarily Muslim countries is not the best way to address the country’s challenges,0
825936326264360960,https://x.com/elonmusk/status/825936326264360960,Reading the source material is better than reading other people's opinions about the source material https://t.co/HKIYKbdb3g,Reading the source material is better than reading other people's opinions about the source material,1
827926509197332480,https://x.com/elonmusk/status/827926509197332480,"@DanielleBloeme Yes, for now, but this should be addressed on all fronts: judicial, legislative and executive.","Yes, for now, but this should be addressed on all fronts: judicial, legislative and executive.",1
827928366711967744,https://x.com/elonmusk/status/827928366711967744,@eveegdmann Really don't want to get in politics. I just want to help invent and develop technologies that improve lives. Feels so bizarre.,Really don't want to get in politics. I just want to help invent and develop technologies that improve lives. Feels so bizarre.,1
827954983710650368,https://x.com/elonmusk/status/827954983710650368,26 ft diameter tunnel running 2 miles under D.C. https://t.co/XFQkioEsg8,26 ft diameter tunnel running 2 miles under D.C.,1
827983309359763456,https://x.com/elonmusk/status/827983309359763456,"Rainbows, unicorns and electric cars https://t.co/oGHkVUmpdi","Rainbows, unicorns and electric cars",1
828004976228188160,https://x.com/elonmusk/status/828004976228188160,@ChrisJCav Maybe my favorite mug ever,Maybe my favorite mug ever,2
828280866451374080,https://x.com/elonmusk/status/828280866451374080,"Many in America don't realize how proud they should be of the legal system. Not perfect, but nowhere is the cause of justice better served.","Many in America don't realize how proud they should be of the legal system. Not perfect, but nowhere is the cause of justice better served.",2
828282648711802880,https://x.com/elonmusk/status/828282648711802880,@iLexomat There are many good legal systems on par with US. Just don't know any that are better.,There are many good legal systems on par with US. Just don't know any that are better.,2
828284048103579648,https://x.com/elonmusk/status/828284048103579648,@humplik The remedy for that is changing the law,The remedy for that is changing the law,1
828287354741936128,https://x.com/elonmusk/status/828287354741936128,@KENEMONICS You're right. Politics is a no-win situation. Somebody is going to hate what you say no matter what that is.,You're right. Politics is a no-win situation. Somebody is going to hate what you say no matter what that is.,0
828291190965551104,https://x.com/elonmusk/status/828291190965551104,"@W4AS Good grief, I'm not ""working"" for Trump. I'm trying to provide advice that helps take things in a more positive direction.","Good grief, I'm not ""working"" for Trump. I'm trying to provide advice that helps take things in a more positive direction.",0
828291645548408832,https://x.com/elonmusk/status/828291645548408832,@BullFlags Yeah. And Twitter is a hater Hellscape.,Yeah. And Twitter is a hater Hellscape.,0
828292953798012928,https://x.com/elonmusk/status/828292953798012928,@RealPhillipPoon Needs a major overhaul,Needs a major overhaul,0
828297251026001920,https://x.com/elonmusk/status/828297251026001920,"@marcelsalathe Not perfect &amp; cd be better, but 10th out of 200+ countries with only a 0.08 diff to ""1st"" place means it's essentially on par","Not perfect &amp; cd be better, but 10th out of 200+ countries with only a 0.08 diff to ""1st"" place means it's essentially on par",1
